direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-68657905
left,left,NA,0,0,0,NA,NA,NA,left,1,16.5272159,sub-68657905
right,right,NA,0,1,1,NA,NA,NA,right,1,4.1354918,sub-68657905
right,right,NA,1,0,2,NA,NA,NA,left,0,3.8054183,sub-68657905
left,left,NA,1,1,3,NA,NA,NA,right,0,2.7231549,sub-68657905
left,left,NA,2,0,4,NA,NA,NA,left,1,6.1918526,sub-68657905
right,right,NA,2,1,5,NA,NA,NA,right,1,5.541536,sub-68657905
right,right,NA,3,0,6,NA,NA,NA,left,0,1.4649076,sub-68657905
left,left,NA,3,1,7,NA,NA,NA,right,0,0.1298597,sub-68657905
left,left,NA,4,0,8,NA,NA,NA,left,1,0.483193,sub-68657905
right,right,NA,4,1,9,NA,NA,NA,right,1,0.576,sub-68657905
left,left,NA,5,0,10,NA,NA,NA,right,0,3.0430476,sub-68657905
right,right,NA,5,1,11,NA,NA,NA,left,0,4.2842508,sub-68657905
right,right,NA,6,0,12,NA,NA,NA,right,1,0.401849,sub-68657905
left,left,NA,6,1,13,NA,NA,NA,right,0,0.0271123,sub-68657905
left,left,NA,7,0,14,NA,NA,NA,right,0,0.3517999,sub-68657905
right,right,NA,7,1,15,NA,NA,NA,left,0,0.3498133,sub-68657905
right,right,NA,8,0,16,NA,NA,NA,left,0,0.8253207,sub-68657905
left,left,NA,8,1,17,NA,NA,NA,right,0,3.3931737,sub-68657905
right,right,NA,9,0,18,NA,NA,NA,right,1,5.5349225,sub-68657905
left,left,NA,9,1,19,NA,NA,NA,right,0,1.7697936,sub-68657905
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-68657905
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-68657905
