wordCTK;colorCTK;corrAnsCTK;congruentCTK;wordPractice;colorPractice;corrAnsPractice;congruentPractice;word;color;corrAns;congruent;trials_CTK.thisRepN;trials_CTK.thisTrialN;trials_CTK.thisN;trials_CTK.thisIndex;trials_practice.thisRepN;trials_practice.thisTrialN;trials_practice.thisN;trials_practice.thisIndex;trials_test.thisRepN;trials_test.thisTrialN;trials_test.thisN;trials_test.thisIndex;thisRow.t;notes;instruction.started;instr_text.started;instr_image.started;instr_resp.started;instruction.stopped;instr_resp.keys;instr_resp.rt;instr_resp.duration;instr_color_to_key.started;instr_ctk.started;resp_ctk.started;instr_color_to_key.stopped;resp_ctk.keys;resp_ctk.rt;resp_ctk.duration;ITI.started;fixcross.started;fixcross.stopped;ITI.stopped;color_to_key_run.started;stimulus_CTK.started;keyResp_CTK.started;color_to_key_run.stopped;keyResp_CTK.keys;keyResp_CTK.corr;keyResp_CTK.rt;keyResp_CTK.duration;instr_practice.started;instr_practice_text.started;instr_practice_resp.started;instr_practice.stopped;instr_practice_resp.keys;instr_practice_resp.rt;instr_practice_resp.duration;practice_run.started;stimulus_practice.started;respPractice.started;practice_run.stopped;respPractice.keys;respPractice.corr;respPractice.rt;respPractice.duration;feedback.started;textFeedback.started;feedback.stopped;textFeedback.stopped;instr_test.started;instr_test_text.started;instr_test_resp.started;instr_test.stopped;instr_test_resp.keys;instr_test_resp.rt;instr_test_resp.duration;test_run.started;stimulus_test_run.started;keyResp_test_run.started;test_run.stopped;keyResp_test_run.keys;keyResp_test_run.corr;keyResp_test_run.rt;keyResp_test_run.duration;goodbye.started;textGoodbye.started;goodbye.stopped;participant;session;date;expName;psychopyVersion;frameRate;expStart
;;;;;;;;;;;;;;;;;;;;;;;;;;0.0016369;0.0520093;0.0520093;0.0520093;3.3452228;space;3.29153;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sub-871355;1;2024-03-11_13h23.52.182;stroop_test;03.02.2023;59.9509242;2024-03-11 13h23.59.360344 +0100
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.3452752;3.3598173;3.3598173;6.7771001;space;3.4009241;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sub-871355;1;2024-03-11_13h23.52.182;stroop_test;03.02.2023;59.9509242;2024-03-11 13h23.59.360344 +0100
test;blue;b;1;;;;;;;;;0;0;0;2;;;;;;;;;6.7945817;;;;;;;;;;;;;;;;;6.7922402;7.5922944;8.3918822;8.3762721;8.3763155;8.3918822;8.3918822;9.6428856;b;1;1.2401274;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sub-871355;1;2024-03-11_13h23.52.182;stroop_test;03.02.2023;59.9509242;2024-03-11 13h23.59.360344 +0100
test;red;r;1;;;;;;;;;0;1;1;0;;;;;;;;;9.6581402;;;;;;;;;;;;;;;;;9.6443337;10.8581123;11.6579469;11.6424519;11.64249;11.6579469;11.6579469;12.2091018;r;1;0.5442289;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sub-871355;1;2024-03-11_13h23.52.182;stroop_test;03.02.2023;59.9509242;2024-03-11 13h23.59.360344 +0100
test;yellow;g;1;;;;;;;;;0;2;2;1;;;;;;;;;12.2245229;;;;;;;;;;;;;;;;;12.2102376;13.4242342;14.224133;14.2081492;14.2081781;14.224133;14.224133;14.6259428;g;1;0.3975413;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sub-871355;1;2024-03-11_13h23.52.182;stroop_test;03.02.2023;59.9509242;2024-03-11 13h23.59.360344 +0100
test;blue;b;1;;;;;;;;;1;0;3;2;;;;;;;;;14.640844;;;;;;;;;;;;;;;;;14.6269336;15.440432;16.2402383;16.2245724;16.2246047;16.2402383;16.2402383;16.5749909;b;1;0.3296951;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sub-871355;1;2024-03-11_13h23.52.182;stroop_test;03.02.2023;59.9509242;2024-03-11 13h23.59.360344 +0100
test;yellow;g;1;;;;;;;;;1;1;4;1;;;;;;;;;16.5899305;;;;;;;;;;;;;;;;;16.5760649;16.9403914;17.7401647;17.7242593;17.7242924;17.7401647;17.7401647;18.190975;g;1;0.4422465;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sub-871355;1;2024-03-11_13h23.52.182;stroop_test;03.02.2023;59.9509242;2024-03-11 13h23.59.360344 +0100
test;red;r;1;;;;;;;;;1;2;5;0;;;;;;;;;18.2062612;;;;;;;;;;;;;;;;;18.1918996;18.3063389;19.1061427;19.0906102;19.0906427;19.1061427;19.1061427;19.5244548;r;1;0.4038797;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sub-871355;1;2024-03-11_13h23.52.182;stroop_test;03.02.2023;59.9509242;2024-03-11 13h23.59.360344 +0100
test;red;r;1;;;;;;;;;2;0;6;0;;;;;;;;;19.5393657;;;;;;;;;;;;;;;;;19.525573;20.3393647;21.1392998;21.1234012;21.1234321;21.1392998;21.1392998;21.5740414;r;1;0.4253778;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sub-871355;1;2024-03-11_13h23.52.182;stroop_test;03.02.2023;59.9509242;2024-03-11 13h23.59.360344 +0100
test;blue;b;1;;;;;;;;;2;1;7;2;;;;;;;;;21.588956;;;;;;;;;;;;;;;;;21.5750864;21.939228;22.7388525;22.7234199;22.7234537;22.7388525;22.7388525;23.1907489;b;1;0.4386034;None;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sub-871355;1;2024-03-11_13h23.52.182;stroop_test;03.02.2023;59.9509242;2024-03-11 13h23.59.360344 +0100
