direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,respDots.keys,respDots.corr,respDots.rt,participant
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-10860809
left,left,NA,0,0,0,NA,NA,NA,right,0,2.4498397580027813,sub-10860809
right,right,NA,0,1,1,NA,NA,NA,right,1,3.121750706995954,sub-10860809
left,left,NA,1,0,2,NA,NA,NA,left,1,2.4245501659970614,sub-10860809
right,right,NA,1,1,3,NA,NA,NA,right,1,2.780013022995263,sub-10860809
right,right,NA,2,0,4,NA,NA,NA,left,0,1.9525692770039311,sub-10860809
left,left,NA,2,1,5,NA,NA,NA,left,1,2.157539144005568,sub-10860809
right,right,NA,3,0,6,NA,NA,NA,right,1,1.9187793899982353,sub-10860809
left,left,NA,3,1,7,NA,NA,NA,left,1,0.987302831003035,sub-10860809
left,left,NA,4,0,8,NA,NA,NA,left,1,1.9229009310001857,sub-10860809
right,right,NA,4,1,9,NA,NA,NA,right,1,1.889213355003449,sub-10860809
right,right,NA,5,0,10,NA,NA,NA,left,0,0.90115476900246,sub-10860809
left,left,NA,5,1,11,NA,NA,NA,left,1,1.5747910029967898,sub-10860809
left,left,NA,6,0,12,NA,NA,NA,left,1,1.212633745999483,sub-10860809
right,right,NA,6,1,13,NA,NA,NA,left,0,1.9113919800001895,sub-10860809
right,right,NA,7,0,14,NA,NA,NA,left,0,2.966333176998887,sub-10860809
left,left,NA,7,1,15,NA,NA,NA,left,1,0.8330020419962239,sub-10860809
right,right,NA,8,0,16,NA,NA,NA,left,0,2.1167587750023813,sub-10860809
left,left,NA,8,1,17,NA,NA,NA,right,0,0.7822713390050922,sub-10860809
left,left,NA,9,0,18,NA,NA,NA,left,1,0.7178093439943041,sub-10860809
right,right,NA,9,1,19,NA,NA,NA,right,1,1.7348320289966068,sub-10860809
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-10860809
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sub-10860809
