direction,corrAns,randomInstr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,instr_trials.thisRepN,instr_trials.thisTrialN,instr_trials.thisN,instr_trials.thisIndex,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,thisRow.t,notes,general_instruction.started,textGeneralInstr.started,respGeneralInstr.started,general_instruction.stopped,respGeneralInstr.keys,respGeneralInstr.rt,respGeneralInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,info.started,textInfo.started,keyRespInfo.started,info.stopped,keyRespInfo.keys,keyRespInfo.rt,keyRespInfo.duration,test_instruction.started,textTestInstr.started,respTestInstr.started,test_instruction.stopped,respTestInstr.keys,respTestInstr.rt,respTestInstr.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.04529890000003434,0.06592950000003839,0.06592950000003839,0.5350094000000354,space,0.465878900000007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052085,001,2024-03-10_15h42.08.618,random_dot,2023.2.3,59.92477044321339,2024-03-10 15h42.12.549669 +0100,
right,right,,0,0,0,1,,,,,,,,,0.55120009999996,,,,,,,,,0.5392335999999887,1.335160900000119,2.134235199999921,2.1180841000000328,2.118122699999958,2.134235199999921,2.134235199999921,2.134235199999921,2.7852995000000647,right,1,0.6455207999999857,None,2.7857248000000254,2.8015139999999974,3.286786500000062,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052085,001,2024-03-10_15h42.08.618,random_dot,2023.2.3,59.92477044321339,2024-03-10 15h42.12.549669 +0100,
left,left,,0,1,1,0,,,,,,,,,3.3018773999999667,,,,,,,,,3.287019999999984,4.087430399999903,4.888095799999974,4.870053999999982,4.870065600000089,4.888095799999974,4.888095799999974,4.888095799999974,5.0890997000001335,right,0,0.18757049999976516,None,5.089360299999953,5.103285000000142,5.589013899999827,5.605393599999843,,,,,,,,,,,,,,,,,,,,,,,,,sub-052085,001,2024-03-10_15h42.08.618,random_dot,2023.2.3,59.92477044321339,2024-03-10 15h42.12.549669 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.589055400000234,5.605393599999843,5.605393599999843,6.123146800000086,space,0.5103036999998949,None,,,,,,,,,,,,,,,,,,sub-052085,001,2024-03-10_15h42.08.618,random_dot,2023.2.3,59.92477044321339,2024-03-10 15h42.12.549669 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.123165099999824,6.1390973000002305,6.1390973000002305,6.69033649999983,space,0.5443718000001354,None,,,,,,,,,,,sub-052085,001,2024-03-10_15h42.08.618,random_dot,2023.2.3,59.92477044321339,2024-03-10 15h42.12.549669 +0100,
right,right,speed,,,,,0,0,0,1,0,0,0,1,7.256781900000078,,,,,,,,,7.244643600000018,8.441062800000054,9.24173299999984,9.225404400000116,9.22541739999997,9.24173299999984,9.24173299999984,9.24173299999984,9.509417300000223,right,1,0.2505674999997609,None,,,,,,,,,,,,,,,,,,,6.692596700000195,6.704729000000043,6.704729000000043,7.2408267999999225,space,0.5236219999997047,None,,,,sub-052085,001,2024-03-10_15h42.08.618,random_dot,2023.2.3,59.92477044321339,2024-03-10 15h42.12.549669 +0100,
left,left,speed,,,,,0,0,0,1,0,1,1,0,9.525381699999798,,,,,,,,,9.509915600000113,9.625388899999962,10.424391600000035,10.408215100000234,10.408227500000066,10.424391600000035,10.424391600000035,10.424391600000035,10.810556899999938,right,0,0.38049320000027365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052085,001,2024-03-10_15h42.08.618,random_dot,2023.2.3,59.92477044321339,2024-03-10 15h42.12.549669 +0100,
left,left,speed,,,,,0,0,0,1,1,0,2,0,10.826712600000064,,,,,,,,,10.810974999999871,10.909777800000029,11.710447899999963,11.693994799999928,11.694007099999908,11.710447899999963,11.710447899999963,11.710447899999963,12.043056999999862,right,0,0.3257567000000563,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052085,001,2024-03-10_15h42.08.618,random_dot,2023.2.3,59.92477044321339,2024-03-10 15h42.12.549669 +0100,
right,right,speed,,,,,0,0,0,1,1,1,3,1,12.059054199999991,,,,,,,,,12.043453100000079,12.392751599999883,13.195004400000016,13.176939500000117,13.176950800000213,13.195004400000016,13.195004400000016,13.195004400000016,13.479166300000088,right,1,0.26635880000003453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052085,001,2024-03-10_15h42.08.618,random_dot,2023.2.3,59.92477044321339,2024-03-10 15h42.12.549669 +0100,
right,right,speed,,,,,0,0,0,1,2,0,4,1,13.493606,,,,,,,,,13.479561000000103,13.578726700000061,14.379360700000234,14.363146499999857,14.363186300000052,14.379360700000234,14.379360700000234,14.379360700000234,14.73004230000015,right,1,0.33704309999984616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-052085,001,2024-03-10_15h42.08.618,random_dot,2023.2.3,59.92477044321339,2024-03-10 15h42.12.549669 +0100,
