direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,backgroundDots.stopped,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,instruction_1.started,textSpeedInst.started,respSpeedInstr.started,instruction_1.stopped,respSpeedInstr.keys,respSpeedInstr.rt,respSpeedInstr.duration,instruction_2.started,textAccuracyInstr.started,respAccuracyInstr.started,instruction_2.stopped,respAccuracyInstr.keys,respAccuracyInstr.rt,respAccuracyInstr.duration,goodbye.started,goodbye_text.started,goodbye_text.stopped,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.013142582989530638,0.022243082989007235,0.022243082989007235,1.441732665989548,space,1.384916874987539,0.033177917008288205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,0,0,0,1,,,,,,,,,1.4751851249893662,,,,,,,,,1.4646162079880014,1.7946055829816032,2.592069749982329,2.578938124992419,2.57896004099166,2.592069749982329,2.592069749982329,2.698116999992635,3.370800540986238,3.466525833006017,right,0.7671462080033962,None,3.467246082989732,3.4844075409928337,3.9711913329956587,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,0,1,1,0,,,,,,,,,3.9817559999937657,,,,,,,,,3.971734082995681,4.065055790997576,4.858055791002698,4.848999540990917,4.8490285410080105,4.858055791002698,4.858055791002698,4.939585790998535,,5.464892707997933,left,0.5160991249722429,None,5.465326000005007,5.471773958008271,5.954759457992623,5.96514987500268,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,1,0,2,0,,,,,,,,,5.96514987500268,,,,,,,,,5.955221874988638,6.306935625005281,7.108002666005632,7.099105957982829,7.099134874995798,7.108002666005632,7.108002666005632,7.198373416002141,7.89844562500366,7.886654625006486,left,0.667641125008231,0.004659917001845315,7.8870429579983465,7.89844562500366,8.382286332984222,8.388124457997037,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,1,1,3,1,,,,,,,,,8.388124457997037,,,,,,,,,8.382851165981265,8.481728540995391,9.27390054098214,9.265490290999878,9.265511707984842,9.27390054098214,9.27390054098214,9.364251249993686,,9.939108374994248,right,0.570104500016896,None,9.93949462499586,9.947478332993342,10.431784665997839,10.437171291006962,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,2,0,4,0,,,,,,,,,10.437171291006962,,,,,,,,,10.432253832987044,10.539599749987246,11.340785415988648,11.332038416003343,11.332061875000363,11.340785415988648,11.340785415988648,11.43142091599293,12.095458833005978,12.08218900000793,right,0.6477243749832269,None,12.082580874994164,12.095458833005978,12.582241333002457,12.587536125007318,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,2,1,5,1,,,,,,,,,12.587536125007318,,,,,,,,,12.582705957989674,12.67259262499283,13.474682250001933,13.46566829099902,13.465697457984788,13.474682250001933,13.474682250001933,13.557159541000146,14.248346000007587,14.289163165987702,left,0.7296259999857284,None,14.289607749989955,14.29771516600158,14.782315082993591,14.787544582999544,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,3,0,6,1,,,,,,,,,14.787544582999544,,,,,,,,,14.782775291008875,15.989667624991853,16.790680332982447,16.782264790992485,16.7822897080041,16.790680332982447,16.790680332982447,16.881437083007768,,17.440019582980312,right,0.5574583330017049,None,17.44040245798533,17.451000125001883,17.93918487499468,17.948494040989317,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,3,1,7,0,,,,,,,,,17.948494040989317,,,,,,,,,17.93964962498285,19.13996087500709,19.940108540991787,19.931804457999533,19.93182887500734,19.940108540991787,19.940108540991787,20.02223420800874,,20.67499741600477,left,0.6432149999891408,0.004600000014761463,20.675404207984684,20.681758082995657,21.16529779098346,21.1704667499871,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,4,0,8,0,,,,,,,,,21.1704667499871,,,,,,,,,21.16567504100385,21.27243520799675,22.07336187499459,22.065530082996702,22.065550790983252,22.07336187499459,22.07336187499459,22.164288083004067,22.82044841599418,22.840071874990826,left,0.6678738329792395,0.006102042010752484,22.84043208300136,22.84760633300175,23.33222470799228,23.337455625005532,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,4,1,9,1,,,,,,,,,23.337455625005532,,,,,,,,,23.332682790991385,24.140092165995156,24.94067008298589,24.93220908299554,24.932230624981457,24.94067008298589,24.94067008298589,25.03093329098192,25.68698183298693,25.799993583001196,left,0.7600349580170587,0.007733374979579821,25.80052441600128,25.812145040981704,26.298880249989452,26.304168999980902,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,5,0,10,1,,,,,,,,,26.304168999980902,,,,,,,,,26.299342374986736,27.098412291001296,27.89140891598072,27.882472166005755,27.88250183299533,27.89140891598072,27.89140891598072,27.98158724998939,28.665048791008303,28.76585949998116,right,0.7772182499757037,None,28.76629491598578,28.777430832997197,29.265774500003317,29.271509332989808,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,5,1,11,0,,,,,,,,,29.271509332989808,,,,,,,,,29.266364165989216,30.065159124991624,30.857991833006963,30.849123166000936,30.849154625000665,30.857991833006963,30.857991833006963,30.948350541002583,,31.63286041599349,left,0.6834082919813227,None,31.6332984159817,31.640826082992135,32.1323140829918,32.13773970800685,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,6,0,12,0,,,,,,,,,32.13773970800685,,,,,,,,,32.13277266599471,32.23185512499185,33.02395487498143,33.01559100000304,33.01561491598841,33.02395487498143,33.02395487498143,33.114207375008846,33.77027574999374,34.27289849999943,left,1.1560007919906639,None,34.2734377909801,34.298177457996644,34.781285250006476,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
