direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,speed_run_loop.thisRepN,speed_run_loop.thisTrialN,speed_run_loop.thisN,speed_run_loop.thisIndex,accuracy_run_loop.thisRepN,accuracy_run_loop.thisTrialN,accuracy_run_loop.thisN,accuracy_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textSpeedInst.started,respSpeedInstr.started,instruction_1.stopped,respSpeedInstr.keys,respSpeedInstr.rt,respSpeedInstr.duration,instruction_2.started,textAccuracyInstr.started,respAccuracyInstr.started,instruction_2.stopped,respAccuracyInstr.keys,respAccuracyInstr.rt,respAccuracyInstr.duration,goodbye.started,goodbye_text.started,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.04363230000308249,0.06487990000459831,0.06487990000459831,1.019298200000776,space,0.9373174000065774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-007551,001,2024-03-07_12h40.45.502,random_dot,2023.2.3,59.755861452582025,2024-03-07 12h40.49.569310 +0100,
right,right,0,0,0,1,,,,,,,,,1.0319622999959392,,,,,,,,,1.023660499995458,1.8342388000019128,2.6349124999978812,2.617083699995419,2.617095000008703,2.6349124999978812,2.6349124999978812,2.7167864000075497,3.7181714000034845,right,0.989730100001907,None,3.7184574999992037,3.7341563000081806,4.236203299995395,4.218455000009271,,,,,,,,,,,,,,,,,,sub-007551,001,2024-03-07_12h40.45.502,random_dot,2023.2.3,59.755861452582025,2024-03-07 12h40.49.569310 +0100,
left,left,0,1,1,0,,,,,,,,,4.236203299995395,,,,,,,,,4.218648699999903,4.569879300004686,5.370688399998471,5.354236700004549,5.3542481000040425,5.370688399998471,5.370688399998471,5.470756299997447,6.238619900002959,left,0.7555621999927098,None,6.238810900002136,6.254618100007065,6.75324730000284,6.738707800002885,,,,,,,,,,,,,,,,,,sub-007551,001,2024-03-07_12h40.45.502,random_dot,2023.2.3,59.755861452582025,2024-03-07 12h40.49.569310 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.738742200002889,6.75324730000284,6.75324730000284,11.342880299998797,space,4.577153899997938,None,,,,,,,,,,,sub-007551,001,2024-03-07_12h40.45.502,random_dot,2023.2.3,59.755861452582025,2024-03-07 12h40.49.569310 +0100,
left,left,,,,,0,0,0,0,,,,,11.357350500009488,,,,,,,,,11.34652800000913,11.692446100001689,12.493149700007052,12.475181100002374,12.47519199999806,12.493149700007052,12.493149700007052,12.574863300003926,13.592922700001509,left,1.004116600000998,None,,,,,,,,,,,,,,,,,,,,,,sub-007551,001,2024-03-07_12h40.45.502,random_dot,2023.2.3,59.755861452582025,2024-03-07 12h40.49.569310 +0100,
right,right,,,,,0,1,1,1,,,,,13.610959600002388,,,,,,,,,13.593516599998111,14.795014000002993,15.595741400000406,15.579423700008192,15.579434900006163,15.595741400000406,15.595741400000406,15.679152700002305,16.13004030000593,right,0.435388799989596,None,,,,,,,,,,,,,,,,,,,,,,sub-007551,001,2024-03-07_12h40.45.502,random_dot,2023.2.3,59.755861452582025,2024-03-07 12h40.49.569310 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.130262899998343,16.14451800000097,16.14451800000097,22.116769900007057,space,5.962446599995019,None,,,,sub-007551,001,2024-03-07_12h40.45.502,random_dot,2023.2.3,59.755861452582025,2024-03-07 12h40.49.569310 +0100,
right,right,,,,,,,,,0,0,0,1,22.134426600008737,,,,,,,,,22.12047690000327,22.21640330000082,23.01688360000844,23.00044030000572,23.000450000006822,23.01688360000844,23.01688360000844,23.101928999996744,23.903310800000327,right,0.796820999996271,None,,,,,,,,,,,,,,,,,,,,,,sub-007551,001,2024-03-07_12h40.45.502,random_dot,2023.2.3,59.755861452582025,2024-03-07 12h40.49.569310 +0100,
left,left,,,,,,,,,0,1,1,0,23.917788300008397,,,,,,,,,23.903746299998602,24.25230609999562,25.053598200000124,25.037116999999853,25.037127000003238,25.053598200000124,25.053598200000124,25.136930900000152,25.536172799998894,left,0.39333540000370704,None,,,,,,,,,,,,,,,,,,,,,,sub-007551,001,2024-03-07_12h40.45.502,random_dot,2023.2.3,59.755861452582025,2024-03-07 12h40.49.569310 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.53637840000738,25.5539804,30.54161149999709,,,,,,,,
