direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textSpeedInst.started,respSpeedInstr.started,instruction_1.stopped,respSpeedInstr.keys,respSpeedInstr.rt,respSpeedInstr.duration,backgroundDots.stopped,instruction_2.started,textAccuracyInstr.started,respAccuracyInstr.started,instruction_2.stopped,respAccuracyInstr.keys,respAccuracyInstr.rt,respAccuracyInstr.duration,goodbye.started,goodbye_text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.034887499999967986,0.05533909999940079,0.05533909999940079,17.990200599999298,space,17.9317202000002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-007615,001,2024-03-08_15h03.28.238,random_dot,2023.2.3,60.46947289322343,2024-03-08 15h03.32.332669 +0100,
right,right,0,0,0,1,,,,,,,,,18.00681379999878,,,,,,,,,17.994767299998784,18.355470999998943,19.154455099998813,19.139834899999187,19.139846699999907,19.154455099998813,19.154455099998813,19.154455099998813,20.45886259999861,left,1.2873517999996693,None,20.45919259999937,20.472873299999264,20.972867899999983,20.958079299998644,,,,,,,,,,,,,,,,,,sub-007615,001,2024-03-08_15h03.28.238,random_dot,2023.2.3,60.46947289322343,2024-03-08 15h03.32.332669 +0100,
left,left,0,1,1,0,,,,,,,,,20.972867899999983,,,,,,,,,20.958293899999262,21.07444139999825,21.87510789999942,21.8588697999985,21.858881199999814,21.87510789999942,21.87510789999942,21.87510789999942,22.49291539999831,left,0.6147556000014447,None,22.493141099999775,22.509765899998456,,23.00796419999824,,,,,,,,,,,,,,,,,,sub-007615,001,2024-03-08_15h03.28.238,random_dot,2023.2.3,60.46947289322343,2024-03-08 15h03.32.332669 +0100,
left,left,1,0,2,0,,,,,,,,,23.024339799998415,,,,,,,,,23.00816329999907,24.192016399998465,24.992520399999194,24.976088599998548,24.97610050000003,24.992520399999194,24.992520399999194,24.992520399999194,25.677121399998214,left,0.6814107000009244,None,25.6773706999993,25.695743799999036,,26.17865339999844,,,,,,,,,,,,,,,,,,sub-007615,001,2024-03-08_15h03.28.238,random_dot,2023.2.3,60.46947289322343,2024-03-08 15h03.32.332669 +0100,
right,right,1,1,3,1,,,,,,,,,26.195377299998654,,,,,,,,,26.178848099998504,26.529003499999817,27.32973569999922,27.313249699998778,27.313261799999964,27.32973569999922,27.32973569999922,27.32973569999922,27.697844799999075,left,0.352195200001006,None,27.698042499998337,27.713305299999774,28.21326829999998,28.197332599998845,,,,,,,,,,,,,,,,,,sub-007615,001,2024-03-08_15h03.28.238,random_dot,2023.2.3,60.46947289322343,2024-03-08 15h03.32.332669 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.19736869999906,28.21326829999998,28.21326829999998,34.51926809999895,space,6.292924000001221,None,,,,,,,,,,,sub-007615,001,2024-03-08_15h03.28.238,random_dot,2023.2.3,60.46947289322343,2024-03-08 15h03.32.332669 +0100,
left,left,,,,,0,0,0,0,,,,,34.53564689999985,,,,,,,,,34.52310729999954,35.319420299998455,36.120190399999046,36.10226649999822,36.102277899999535,36.120190399999046,36.120190399999046,36.120190399999046,37.43931199999861,left,1.3057067999998253,None,,,,,,,,,,,,,,,,,,,,,,sub-007615,001,2024-03-08_15h03.28.238,random_dot,2023.2.3,60.46947289322343,2024-03-08 15h03.32.332669 +0100,
right,right,,,,,0,1,1,1,,,,,37.45476149999922,,,,,,,,,37.439733699999124,38.63900339999964,39.45620710000003,39.439996499999324,39.440008299998226,39.45620710000003,39.45620710000003,39.45620710000003,40.24103389999982,left,0.7780336000014358,None,,,,,,,,,,,,,,,,,,,,,,sub-007615,001,2024-03-08_15h03.28.238,random_dot,2023.2.3,60.46947289322343,2024-03-08 15h03.32.332669 +0100,
left,left,,,,,1,0,2,0,,,,,40.25789469999836,,,,,,,,,40.24136389999876,40.590445399999226,41.391074899998785,41.37489199999982,41.374903499998254,41.391074899998785,41.391074899998785,41.391074899998785,42.026531599998634,left,0.6199852000008832,None,,,,,,,,,,,,,,,,,,,,,,sub-007615,001,2024-03-08_15h03.28.238,random_dot,2023.2.3,60.46947289322343,2024-03-08 15h03.32.332669 +0100,
right,right,,,,,1,1,3,1,,,,,42.04176429999825,,,,,,,,,42.02686559999893,42.3903023999992,43.19272269999965,43.176437399999486,43.176448999998684,43.19272269999965,43.19272269999965,43.19272269999965,45.24524569999994,right,2.048979600000166,None,,,,,,,,,,,,44.69382649999898,,,,,,,,,,sub-007615,001,2024-03-08_15h03.28.238,random_dot,2023.2.3,60.46947289322343,2024-03-08 15h03.32.332669 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.24549359999946,45.2616941999986,45.2616941999986,52.21556489999966,space,6.948126200000843,None,,,sub-007615,001,2024-03-08_15h03.28.238,random_dot,2023.2.3,60.46947289322343,2024-03-08 15h03.32.332669 +0100,
left,left,,,,,,,,,0,0,0,0,52.23359159999927,,,,,,,,,52.21961449999981,53.01747429999887,53.81800789999943,53.80184419999932,53.80185519999941,53.81800789999943,53.81800789999943,53.81800789999943,54.836381499999334,left,1.008067700000538,None,,,,,,,,,,,,,,,,,,,,,,sub-007615,001,2024-03-08_15h03.28.238,random_dot,2023.2.3,60.46947289322343,2024-03-08 15h03.32.332669 +0100,
right,right,,,,,,,,,0,1,1,1,54.85288119999859,,,,,,,,,54.836798099999214,56.03670009999951,56.83742279999933,56.820826499999384,56.82083659999989,56.83742279999933,56.83742279999933,56.83742279999933,57.605776599999444,right,0.7561177000006865,None,,,,,,,,,,,,,,,,,,,,,,sub-007615,001,2024-03-08_15h03.28.238,random_dot,2023.2.3,60.46947289322343,2024-03-08 15h03.32.332669 +0100,
