direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,instruction_1.started,textInst1.started,respInstr1.started,instruction_1.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,instruction_2.started,textInstr2.started,respInstr2.started,instruction_2.stopped,respInstr2.keys,respInstr2.rt,respInstr2.duration,stimulusDots.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.03748500000074273,0.06084530000225641,0.06084530000225641,1.2763981999996759,space,1.2062643999997817,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-008947,001,2024-03-08_15h49.53.747,random_dot,2023.2.3,60.528913753620614,2024-03-08 15h49.57.787889 +0100,
left,left,0,0,0,0,,,,,,,,,1.2944363999995403,,,,,,,,,1.2809151000001293,2.0784186999990197,2.877206000001024,2.862753600002179,2.86276480000015,2.877206000001024,2.877206000001024,2.877206000001024,3.6784279999992577,left,1,0.7982296999980463,None,3.6787966000010783,3.694458100002521,4.180192899999383,,,,,,,,,,,,,,,,,sub-008947,001,2024-03-08_15h49.53.747,random_dot,2023.2.3,60.528913753620614,2024-03-08 15h49.57.787889 +0100,
right,right,0,1,1,1,,,,,,,,,4.196890700000949,,,,,,,,,4.180394700000761,4.9790133999995305,5.781461599999602,5.765111299999262,5.765122900000279,5.781461599999602,5.781461599999602,5.781461599999602,6.33287140000175,left,0,0.5500662000013108,None,6.333115299999918,6.34669489999942,6.832701300001645,6.848864100000355,,,,,,,,,,,,,,,,sub-008947,001,2024-03-08_15h49.53.747,random_dot,2023.2.3,60.528913753620614,2024-03-08 15h49.57.787889 +0100,
right,right,1,0,2,1,,,,,,,,,6.848864100000355,,,,,,,,,6.832885600000736,8.033397999999579,8.833983900000021,8.81751930000246,8.817531200002122,8.833983900000021,8.833983900000021,8.833983900000021,9.33368750000227,right,1,0.4977491999998165,None,9.333953000001202,9.349298000001,9.834831700001814,,,,,,,,,,,,,,,,,sub-008947,001,2024-03-08_15h49.53.747,random_dot,2023.2.3,60.528913753620614,2024-03-08 15h49.57.787889 +0100,
left,left,1,1,3,0,,,,,,,,,9.851470100002189,,,,,,,,,9.8350305999993,10.635467300002347,11.434404300001916,11.417835100000957,11.417845200001466,11.434404300001916,11.434404300001916,11.434404300001916,12.101945700000215,right,0,0.6572011000025668,None,12.102197200001683,12.118123899999773,12.602227200000925,12.620794500002376,,,,,,,,,,,,,,,,sub-008947,001,2024-03-08_15h49.53.747,random_dot,2023.2.3,60.528913753620614,2024-03-08 15h49.57.787889 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.602265000001353,12.620794500002376,12.620794500002376,16.205509400002484,space,3.5826856000021507,None,,,,,,,,,sub-008947,001,2024-03-08_15h49.53.747,random_dot,2023.2.3,60.528913753620614,2024-03-08 15h49.57.787889 +0100,
right,right,,,,,0,0,0,1,,,,,16.223365800000465,,,,,,,,,16.209155399999872,17.007426700001815,17.822957600001246,17.806641499999387,17.80665349999981,17.822957600001246,17.822957600001246,17.822957600001246,18.424109800002043,right,1,0.5959086999973806,None,,,,,,,,,,,,,,,,,,,,sub-008947,001,2024-03-08_15h49.53.747,random_dot,2023.2.3,60.528913753620614,2024-03-08 15h49.57.787889 +0100,
left,left,,,,,0,1,1,0,,,,,18.440320199999405,,,,,,,,,18.424612400001934,18.523776199999702,19.324154300000373,19.30794800000149,19.307959400000982,19.324154300000373,19.324154300000373,19.324154300000373,20.559196900001552,left,1,1.2311054000019794,None,,,,,,,,,,,,,,,,,,,,sub-008947,001,2024-03-08_15h49.53.747,random_dot,2023.2.3,60.528913753620614,2024-03-08 15h49.57.787889 +0100,
right,right,,,,,1,0,2,1,,,,,20.576971700000286,,,,,,,,,20.559600799999316,21.360989299999346,22.159924300001876,22.14354920000187,22.14358859999993,22.159924300001876,22.159924300001876,22.159924300001876,22.827614199999516,right,1,0.6594584000013128,None,,,,,,,,,,,,,,,,,,,,sub-008947,001,2024-03-08_15h49.53.747,random_dot,2023.2.3,60.528913753620614,2024-03-08 15h49.57.787889 +0100,
left,left,,,,,1,1,3,0,,,,,22.845450299999357,,,,,,,,,22.827971500002604,24.029838200000086,24.82881289999932,24.81233659999998,24.81234790000235,24.82881289999932,24.82881289999932,24.82881289999932,25.279579199999716,right,0,0.4466069999980391,None,,,,,,,,,,,,,,,,,,,,sub-008947,001,2024-03-08_15h49.53.747,random_dot,2023.2.3,60.528913753620614,2024-03-08 15h49.57.787889 +0100,
