direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textSpeedInst.started,respSpeedInstr.started,instruction_1.stopped,respSpeedInstr.keys,respSpeedInstr.rt,respSpeedInstr.duration,backgroundDots.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.04362860000037472,0.06269740000061574,0.06269740000061574,3.5512856999994256,space,3.4808928000002197,None,,,,,,,,,,,,,,,,,,,,,,,,,sub-012801,001,2024-03-08_14h34.12.239,random_dot,2023.2.3,59.80557208482043,2024-03-08 14h34.16.268807 +0100,
right,right,0,0,0,1,,,,,3.565629299999273,,,,,,,,,3.555642999999691,3.916240700000344,4.716577099999995,4.700234800000544,4.700244800000291,4.716577099999995,4.716577099999995,4.716577099999995,5.536589299999832,right,0.802855300000374,None,5.536900099999912,5.550504799999544,6.052697099999932,6.036542300000292,,,,,,,,,sub-012801,001,2024-03-08_14h34.12.239,random_dot,2023.2.3,59.80557208482043,2024-03-08 14h34.16.268807 +0100,
left,left,0,1,1,0,,,,,6.052697099999932,,,,,,,,,6.03673069999968,7.237204999999449,8.037719199999628,8.02150839999922,8.021522499999264,8.037719199999628,8.037719199999628,8.037719199999628,8.288867900000696,right,0.24984980000044743,None,8.28905130000021,8.304752199999712,8.804995200000121,8.7888082999998,,,,,,,,,sub-012801,001,2024-03-08_14h34.12.239,random_dot,2023.2.3,59.80557208482043,2024-03-08 14h34.16.268807 +0100,
left,left,1,0,2,0,,,,,8.804995200000121,,,,,,,,,8.788995099999738,8.888584899999842,9.689147999999477,9.67257939999945,9.672591000000466,9.689147999999477,9.689147999999477,9.689147999999477,10.005073099999208,right,0.3029418000005535,None,10.005304199999955,10.020929099999194,,10.506464699999924,,,,,,,,,sub-012801,001,2024-03-08_14h34.12.239,random_dot,2023.2.3,59.80557208482043,2024-03-08 14h34.16.268807 +0100,
right,right,1,1,3,1,,,,,10.521554200000537,,,,,,,,,10.50666049999927,10.8567622999999,11.672339400000055,11.656022700000904,11.656033799999932,11.672339400000055,11.672339400000055,11.672339400000055,11.806170500000007,right,0.1270388000011735,None,11.806357400000707,11.822337400000833,12.323760299999776,12.30636290000075,,,,,,,,,sub-012801,001,2024-03-08_14h34.12.239,random_dot,2023.2.3,59.80557208482043,2024-03-08 14h34.16.268807 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.306400100000246,12.323760299999776,12.323760299999776,16.481462399999145,space,4.140140200001042,None,,sub-012801,001,2024-03-08_14h34.12.239,random_dot,2023.2.3,59.80557208482043,2024-03-08 14h34.16.268807 +0100,
left,left,,,,,0,0,0,0,16.492883799999618,,,,,,,,,16.485317900000155,16.84511399999974,17.662456899999597,17.646020700000008,17.64603259999967,17.662456899999597,17.662456899999597,17.662456899999597,18.914606599999388,right,1.240827800000261,None,,,,,,,,,,,,,sub-012801,001,2024-03-08_14h34.12.239,random_dot,2023.2.3,59.80557208482043,2024-03-08 14h34.16.268807 +0100,
right,right,,,,,0,1,1,1,18.928633600000467,,,,,,,,,18.915259999999762,19.030313499999465,19.830897499999992,19.814400999999634,19.814412800000355,19.830897499999992,19.830897499999992,19.830897499999992,20.332521300000735,right,0.4887956000002305,None,,,,,,,,,,,,,sub-012801,001,2024-03-08_14h34.12.239,random_dot,2023.2.3,59.80557208482043,2024-03-08 14h34.16.268807 +0100,
left,left,,,,,1,0,2,0,20.346449399999983,,,,,,,,,20.332947499999136,21.13195540000015,21.932622899999842,21.916004099999554,21.916014300000825,21.932622899999842,21.932622899999842,21.932622899999842,22.483724199999415,right,0.5471170999990136,None,,,,,,,,,,,,,sub-012801,001,2024-03-08_14h34.12.239,random_dot,2023.2.3,59.80557208482043,2024-03-08 14h34.16.268807 +0100,
right,right,,,,,1,1,3,1,22.500616200000877,,,,,,,,,22.48416890000044,22.849979799999346,23.649021600000196,23.634361599999465,23.63437250000061,23.649021600000196,23.649021600000196,23.649021600000196,25.23421640000015,right,1.5822884999997768,None,,,,,,,,,,,,25.150166999999783,sub-012801,001,2024-03-08_14h34.12.239,random_dot,2023.2.3,59.80557208482043,2024-03-08 14h34.16.268807 +0100,
,,,,,,,,,,25.252890600000683,,,,,,,,,25.234647699999186,26.03589800000009,26.83652339999935,26.820221300000412,26.820231499999863,26.83652339999935,26.83652339999935,26.83652339999935,,,,,,,,,,,,,,,,,,,,,,,,
