direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,instruction_1.started,textInst1.started,respInstr1.started,instruction_1.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,instruction_2.started,textInstr2.started,respInstr2.started,instruction_2.stopped,respInstr2.keys,respInstr2.rt,respInstr2.duration,stimulusDots.stopped,goodbye.started,goodbye_text.started,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.034941399997478584,0.058260199999494944,0.058260199999494944,26.70090739999796,space,26.624810200002685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-020665,001,2024-03-08_16h11.23.449,random_dot,2023.2.3,59.93328227017903,2024-03-08 16h11.27.547682 +0100,
left,left,0,0,0,0,,,,,,,,,26.713474699998187,,,,,,,,,26.705427199998667,27.06381649999821,27.86611339999945,27.84976309999911,27.84977539999818,27.86611339999945,27.86611339999945,27.86611339999945,29.0161483999982,right,0,1.144571700002416,None,29.016536199997063,29.032033899999078,29.51760049999939,,,,,,,,,,,,,,,,,,,,sub-020665,001,2024-03-08_16h11.23.449,random_dot,2023.2.3,59.93328227017903,2024-03-08 16h11.27.547682 +0100,
right,right,0,1,1,1,,,,,,,,,29.534164799999417,,,,,,,,,29.517808099997637,29.61761949999709,30.418213999997533,30.401755199996842,30.401768099996843,30.418213999997533,30.418213999997533,30.418213999997533,31.102773499998875,right,1,0.6724830000021029,None,31.103045799998654,31.117066099999647,31.60291479999796,31.619310599999153,,,,,,,,,,,,,,,,,,,sub-020665,001,2024-03-08_16h11.23.449,random_dot,2023.2.3,59.93328227017903,2024-03-08 16h11.27.547682 +0100,
left,left,1,0,2,0,,,,,,,,,31.619310599999153,,,,,,,,,31.603120799998578,32.80361300000004,33.602574299999105,33.58628939999835,33.586301899998944,33.602574299999105,33.602574299999105,33.602574299999105,34.35379759999705,right,0,0.7444396999999299,None,34.354064799998014,34.36984709999888,34.85412619999988,34.87029059999986,,,,,,,,,,,,,,,,,,,sub-020665,001,2024-03-08_16h11.23.449,random_dot,2023.2.3,59.93328227017903,2024-03-08 16h11.27.547682 +0100,
right,right,1,1,3,1,,,,,,,,,34.87029059999986,,,,,,,,,34.854327699998976,35.20390099999713,36.006096799999796,35.98972689999937,35.98973779999869,36.006096799999796,36.006096799999796,36.006096799999796,36.67235379999693,left,0,0.653018199998769,None,36.67260829999941,36.69014799999786,37.17388260000007,,,,,,,,,,,,,,,,,,,,sub-020665,001,2024-03-08_16h11.23.449,random_dot,2023.2.3,59.93328227017903,2024-03-08 16h11.27.547682 +0100,
left,left,2,0,4,0,,,,,,,,,37.190510299999005,,,,,,,,,37.17415719999917,37.974428999998054,38.77517109999826,38.75720299999739,38.757214599998406,38.77517109999826,38.77517109999826,38.77517109999826,39.42455859999973,right,0,0.6439780999971845,None,39.42483209999773,39.44060979999995,39.92474339999899,39.94270519999918,,,,,,,,,,,,,,,,,,,sub-020665,001,2024-03-08_16h11.23.449,random_dot,2023.2.3,59.93328227017903,2024-03-08 16h11.27.547682 +0100,
right,right,2,1,5,1,,,,,,,,,39.94270519999918,,,,,,,,,39.92496239999673,41.12707179999779,41.92772429999968,41.909704099998635,41.9097148999972,41.92772429999968,41.92772429999968,41.92772429999968,42.62720179999815,right,1,0.6911881000014546,None,42.62747679999666,42.64340369999991,43.12884959999792,,,,,,,,,,,,,,,,,,,,sub-020665,001,2024-03-08_16h11.23.449,random_dot,2023.2.3,59.93328227017903,2024-03-08 16h11.27.547682 +0100,
right,right,3,0,6,1,,,,,,,,,43.143795500000124,,,,,,,,,43.12906389999989,43.47744160000002,44.27801919999911,44.263210099998105,44.2632225999987,44.27801919999911,44.27801919999911,44.27801919999911,44.96238839999933,right,1,0.6703065000001516,None,44.96264549999978,44.97874849999789,45.464045999997325,,,,,,,,,,,,,,,,,,,,sub-020665,001,2024-03-08_16h11.23.449,random_dot,2023.2.3,59.93328227017903,2024-03-08 16h11.27.547682 +0100,
left,left,3,1,7,0,,,,,,,,,45.47919499999989,,,,,,,,,45.464281599997776,45.56405239999731,46.364664699998684,46.348604499999055,46.3486155999999,46.364664699998684,46.364664699998684,46.364664699998684,46.91567269999723,right,0,0.5357837000010477,None,46.91593859999921,46.93184990000009,47.415877499999624,47.43230169999879,,,,,,,,,,,,,,,,,,,sub-020665,001,2024-03-08_16h11.23.449,random_dot,2023.2.3,59.93328227017903,2024-03-08 16h11.27.547682 +0100,
left,left,4,0,8,0,,,,,,,,,47.43230169999879,,,,,,,,,47.41607539999677,48.214686999999685,49.01698239999678,49.00059259999762,49.00060449999728,49.01698239999678,49.01698239999678,49.01698239999678,49.83498129999862,left,1,0.8018148000010115,None,49.83526999999958,49.8493920999972,50.33528729999671,50.351411599996936,,,,,,,,,,,,,,,,,,,sub-020665,001,2024-03-08_16h11.23.449,random_dot,2023.2.3,59.93328227017903,2024-03-08 16h11.27.547682 +0100,
