direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,backgroundDots.stopped,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.042942099998981575,0.06557780000002822,0.06557780000002822,1.2988941000003251,space,1.2312433999995847,None,,,,,,,,,,,,,,,,,,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
right,right,0,0,0,1,1.317834399998901,,,,,,,,,1.310731699999451,1.3982660999990912,2.1989080000003014,2.1828311999997823,2.1828420000001643,2.1989080000003014,2.1989080000003014,2.28245810000044,3.6985121999987314,3.7675171999999293,right,1.4698233999988588,None,3.767872200000056,3.7817383000001428,4.284218599999804,4.267743599999449,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
left,left,0,1,1,0,4.284218599999804,,,,,,,,,4.2679645999996865,4.617832899999485,5.432785599999988,5.416419999999562,5.416429699998844,5.432785599999988,5.432785599999988,5.5162240999998176,,6.867843699999867,left,1.3400089999995544,None,6.86805749999985,6.883993199999168,7.384369600000355,7.368079599998964,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
left,left,1,0,2,0,7.384369600000355,,,,,,,,,7.368283599998904,8.168429499999547,8.969080699998813,8.95263630000045,8.95264589999897,8.969080699998813,8.969080699998813,9.052450899998803,,9.520002499999464,right,0.45208549999915704,None,9.520211999999447,9.536168700000417,10.036633699999584,10.020121999999901,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
right,right,1,1,3,1,10.036633699999584,,,,,,,,,10.020314999999755,10.370199900000443,11.170900699999038,11.154531199999838,11.154540699999416,11.170900699999038,11.170900699999038,11.25425389999873,,11.488191399999778,right,0.22605279999879713,None,11.48839020000014,11.504509299998972,12.004923599999529,11.988457299999936,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
left,left,2,0,4,0,12.004923599999529,,,,,,,,,11.988643799999409,12.788875299998836,13.589532300000428,13.573142199998983,13.573151399999915,13.589532300000428,13.589532300000428,13.672967099999369,,13.890379200000098,left,0.21489160000055563,None,13.89058599999953,13.906498000000283,14.40690910000012,14.390452100000402,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
right,right,2,1,5,1,14.40690910000012,,,,,,,,,14.39080759999888,15.591191899999103,16.391835999998875,16.37548269999934,16.37549190000027,16.391835999998875,16.391835999998875,16.47528330000023,,16.793021699999372,right,0.3168091000006825,None,16.793236599998636,16.808840199999395,17.309265899999446,17.29283899999973,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
left,left,3,0,6,0,17.309265899999446,,,,,,,,,17.29302850000022,17.6429162000004,18.44354519999979,18.42707960000007,18.427088899999944,18.44354519999979,18.44354519999979,18.52693939999881,,18.760970299999826,right,0.22489219999988563,None,18.76116980000006,18.777189799999178,19.277607899999566,19.261111199999505,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
right,right,3,1,7,1,19.277607899999566,,,,,,,,,19.261303600000247,19.611221499999374,20.411885899999106,20.395347599998786,20.395356699998956,20.411885899999106,20.411885899999106,20.49522849999994,,20.962712599999577,right,0.4567478000008123,None,20.9629189999996,20.979009900000165,21.47942879999937,21.462956600000325,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
right,right,4,0,8,1,21.47942879999937,,,,,,,,,21.46314689999963,21.56278469999961,22.36345579999943,22.34708959999989,22.347098899999764,22.36345579999943,22.36345579999943,22.44690029999947,23.86470609999924,24.082218899999134,right,1.6334898000004614,None,24.082448199998908,24.098199799998838,24.59862929999872,24.58225549999952,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
left,left,4,1,9,0,24.59862929999872,,,,,,,,,24.58246329999929,24.682076199998846,25.482683299998826,25.466261499999746,25.46627029999945,25.482683299998826,25.482683299998826,25.566095000000132,,25.850169800000003,right,0.28167860000030487,None,25.8503896000002,25.866345399999773,26.366798499999277,26.350297400000272,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
