direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textSpeedInst.started,respSpeedInstr.started,instruction_1.stopped,respSpeedInstr.keys,respSpeedInstr.rt,respSpeedInstr.duration,backgroundDots.stopped,stimulusDots.stopped,instruction_2.started,textAccuracyInstr.started,respAccuracyInstr.started,instruction_2.stopped,respAccuracyInstr.keys,respAccuracyInstr.rt,respAccuracyInstr.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.041557500007911585,0.061250300001120195,0.061250300001120195,10.722263500007102,space,10.65867080001044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,0,0,0,1,,,,,,,,,10.738292699999874,,,,,,,,,10.726684199995361,10.838397800005623,11.637512100001913,11.62115829999675,11.621169799997006,11.637512100001913,11.637512100001913,11.722451599998749,12.323426500006462,left,0.5892824000038672,None,12.323780799997621,12.337997700000415,12.840162299995427,12.82371470000362,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,0,1,1,0,,,,,,,,,12.840162299995427,,,,,,,,,12.82392670000263,12.92342859999917,13.724096699996153,13.706166400006623,13.706177400003071,13.724096699996153,13.724096699996153,13.807550900004571,14.642270299998927,left,0.8321252000023378,None,14.642533499994897,14.65653750000638,15.158632000006037,15.142306499998085,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,1,0,2,1,,,,,,,,,15.158632000006037,,,,,,,,,15.1425040000031,15.94263819999469,16.74176730000181,16.725302100006957,16.725313000002643,16.74176730000181,16.74176730000181,16.825091499995324,17.55968639999628,right,0.7264951999968616,None,17.55990560000646,17.577246300003026,,18.061140399993747,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,1,1,3,0,,,,,,,,,18.077709799996228,,,,,,,,,18.06134810000367,18.860083799998392,19.660790499998257,19.645968199998606,19.645979799999623,19.660790499998257,19.660790499998257,19.745762000005925,20.1617230999982,left,0.40571200000704266,None,20.16194710000127,20.17945929999405,,20.663402599995607,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,2,0,4,0,,,,,,,,,20.67990600000485,,,,,,,,,20.6635998999991,21.013483899994753,21.814190300006885,21.797783999994863,21.79779409999901,21.814190300006885,21.814190300006885,21.897658100002445,22.398506800003815,left,0.4859511999966344,None,22.398725399994873,22.41465099999914,22.915063399996143,22.898799600006896,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,2,1,5,1,,,,,,,,,22.915063399996143,,,,,,,,,22.898999800003367,24.099462900005165,24.90008239999588,24.88375090000045,24.88376280000375,24.90008239999588,24.90008239999588,24.983428799998364,25.41773960000137,right,0.42469279999204446,None,25.417967800007318,25.43390740000177,25.934321399996406,25.91777820000425,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,3,0,6,0,,,,,,,,,25.934321399996406,,,,,,,,,25.917981799997506,26.267936500007636,27.066945300000953,27.050579100003233,27.05058999999892,27.066945300000953,27.066945300000953,27.151915900001768,27.818012100004125,left,0.6561285000061616,None,27.8182541999995,27.834188000007998,28.334715499993763,28.318155800006934,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,3,1,7,1,,,,,,,,,28.334715499993763,,,,,,,,,28.31836380000459,28.66822609999508,29.468842899994343,29.45410640000773,29.45412199999555,29.468842899994343,29.468842899994343,29.55393369999365,30.03646590000426,left,0.47830180000164546,None,30.03668900000048,30.052624999996624,30.555076100004953,30.536916900004144,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,4,0,8,1,,,,,,,,,30.555076100004953,,,,,,,,,30.53718719999597,30.638233699995908,31.438910099997884,31.422414800006663,31.42242640000768,31.438910099997884,31.438910099997884,31.522258400000283,32.02153339999495,right,0.4852901000122074,None,32.02176230000623,32.03939890000038,,32.52310120000038,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
