direction,corrAns,randomInstr,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,instr.thisRepN,instr.thisTrialN,instr.thisN,instr.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,instruction_test.started,textInst1.started,respInstr1.started,instruction_test.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.0367303000020911,0.06289500000275439,0.06289500000275439,1.2216483000011067,space,1.1537523000006331,None,,,,,,,,,,,,,,,,,,,,,,,,,sub-033063,001,2024-03-08_20h40.38.532,random_dot,2023.2.3,59.92954682375182,2024-03-08 20h40.42.399816 +0100,
right,right,,0,0,0,1,,,,,,,,,1.2377418000032776,,,,,,,,,1.2258244999975432,1.3377305000030901,2.155154300002323,2.1388263999979245,2.13883640000131,2.155154300002323,2.155154300002323,2.155154300002323,2.721214899996994,right,1,0.5575306999962777,None,2.721599700002116,2.7370985000015935,3.2226767000029213,,,,,,,,,sub-033063,001,2024-03-08_20h40.38.532,random_dot,2023.2.3,59.92954682375182,2024-03-08 20h40.42.399816 +0100,
left,left,,0,1,1,0,,,,,,,,,3.2394249999997555,,,,,,,,,3.2228774999966845,3.322677800002566,4.123352499998873,4.107029600003443,4.107040800001414,4.123352499998873,4.123352499998873,4.123352499998873,4.439192300000286,right,0,0.30112289999669883,None,4.439435300002515,4.45698750000156,4.940796199996839,,,,,,,,,sub-033063,001,2024-03-08_20h40.38.532,random_dot,2023.2.3,59.92954682375182,2024-03-08 20h40.42.399816 +0100,
right,right,,1,0,2,1,,,,,,,,,4.957495100003143,,,,,,,,,4.940995299999486,5.741483799996786,6.542186099999526,6.525667000001704,6.525678300000436,6.542186099999526,6.542186099999526,6.542186099999526,6.557546199997887,right,1,0.011013800001819618,None,6.557782600000792,6.573743599998124,7.059215399996901,,,,,,,,,sub-033063,001,2024-03-08_20h40.38.532,random_dot,2023.2.3,59.92954682375182,2024-03-08 20h40.42.399816 +0100,
left,left,,1,1,3,0,,,,,,,,,7.07584759999736,,,,,,,,,7.059415399999125,7.1592126000032295,7.959889799996745,7.943619799996668,7.9436304999981076,7.959889799996745,7.959889799996745,7.959889799996745,8.21091670000169,right,0,0.24870650000229944,None,8.211145599998417,8.225030399997195,8.710804399997869,8.72987650000141,,,,,,,,sub-033063,001,2024-03-08_20h40.38.532,random_dot,2023.2.3,59.92954682375182,2024-03-08 20h40.42.399816 +0100,
left,left,accuracy,,,,,0,0,0,0,0,0,0,0,10.430389100001776,,,,,,,,,10.416642000003776,10.778964899996936,11.577969199999643,11.563206500002707,11.563220299998648,11.577969199999643,11.577969199999643,11.577969199999643,11.862081500003114,right,0,0.27846169999975245,None,,,,,8.71478660000139,8.72987650000141,8.72987650000141,10.412677699998312,space,1.6792379000034998,None,sub-033063,001,2024-03-08_20h40.38.532,random_dot,2023.2.3,59.92954682375182,2024-03-08 20h40.42.399816 +0100,
right,right,accuracy,,,,,0,0,0,0,0,1,1,1,11.87986980000278,,,,,,,,,11.862589500000468,13.064046799998323,13.8648045000009,13.846832299997914,13.846843400002399,13.8648045000009,13.8648045000009,13.8648045000009,14.149984900002892,right,1,0.2721229999951902,None,,,,,,,,,,,,sub-033063,001,2024-03-08_20h40.38.532,random_dot,2023.2.3,59.92954682375182,2024-03-08 20h40.42.399816 +0100,
left,left,accuracy,,,,,0,0,0,0,1,0,2,0,14.165267600001243,,,,,,,,,14.150340400003188,14.965649500001746,15.766377300002205,15.7500738000017,15.750084699997387,15.766377300002205,15.766377300002205,15.766377300002205,16.03390760000184,right,0,0.2660734000019147,None,,,,,,,,,,,,sub-033063,001,2024-03-08_20h40.38.532,random_dot,2023.2.3,59.92954682375182,2024-03-08 20h40.42.399816 +0100,
right,right,accuracy,,,,,0,0,0,0,1,1,3,1,16.051072499998554,,,,,,,,,16.034339400001045,16.133383499996853,16.933970700003556,16.917660999999498,16.917672000003222,16.933970700003556,16.933970700003556,16.933970700003556,17.3518047999969,right,1,0.41127879999839934,None,,,,,,,,,,,,sub-033063,001,2024-03-08_20h40.38.532,random_dot,2023.2.3,59.92954682375182,2024-03-08 20h40.42.399816 +0100,
,,accuracy,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-033063,001,2024-03-08_20h40.38.532,random_dot,2023.2.3,59.92954682375182,2024-03-08 20h40.42.399816 +0100,
,,,,,,,,,,,,,,,18.468538900000567,,,,,,,,,18.456813500000862,19.25258600000234,,,,,,,,,,,,,,,,17.35220229999686,17.368638400002965,17.368638400002965,18.452825200001826,space,1.0804151999982423,None,,,,,,,,
