direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textInst1.started,respInstr1.started,instruction_1.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.03794960000232095,0.06150230000639567,0.06150230000639567,0.895321200005128,space,0.8208378999988781,None,,,,,,,,,,,,,,,,,,,,,,,,,sub-044342,001,2024-03-08_19h57.36.953,random_dot,2023.2.3,60.09225362892093,2024-03-08 19h57.40.872908 +0100,
right,right,0,0,0,1,,,,,0.9114218000031542,,,,,,,,,0.8997828999999911,1.6954267000037362,2.494461100002809,2.4781216000046697,2.478134000004502,2.494461100002809,2.494461100002809,2.494461100002809,2.613380100003269,left,0,0.11529549999977462,None,2.6137266000005184,2.6278121000068495,3.1299110000036308,3.1119335000039428,,,,,,,,sub-044342,001,2024-03-08_19h57.36.953,random_dot,2023.2.3,60.09225362892093,2024-03-08 19h57.40.872908 +0100,
left,left,0,1,1,0,,,,,3.1299110000036308,,,,,,,,,3.1121146000004956,3.478681600005075,4.281000700000732,4.264494300005026,4.264506200001051,4.281000700000732,4.281000700000732,4.281000700000732,4.563445200001297,left,1,0.27249809999921126,None,4.56371670000226,4.579379300004803,,5.064892000002146,,,,,,,,sub-044342,001,2024-03-08_19h57.36.953,random_dot,2023.2.3,60.09225362892093,2024-03-08 19h57.40.872908 +0100,
right,right,1,0,2,1,,,,,5.0816273000018555,,,,,,,,,5.065084700006992,6.265908500005025,7.0648623000015505,7.048647000003257,7.048658900006558,7.0648623000015505,7.0648623000015505,7.0648623000015505,7.734513500006869,left,0,0.6577908000035677,None,7.734774200005631,7.748763000003237,8.250963700003922,8.234467200003564,,,,,,,,sub-044342,001,2024-03-08_19h57.36.953,random_dot,2023.2.3,60.09225362892093,2024-03-08 19h57.40.872908 +0100,
left,left,1,1,3,0,,,,,8.250963700003922,,,,,,,,,8.234654800005956,8.33429380000598,9.133334500002093,9.118822500000533,9.118834700006119,9.133334500002093,9.133334500002093,9.133334500002093,9.802750200004084,left,1,0.652514199995494,None,9.803000300002168,9.817065100003674,10.319678400002886,10.302947900003346,,,,,,,,sub-044342,001,2024-03-08_19h57.36.953,random_dot,2023.2.3,60.09225362892093,2024-03-08 19h57.40.872908 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.302985300004366,10.319678400002886,10.319678400002886,12.439924100006465,space,2.1062364999961574,None,sub-044342,001,2024-03-08_19h57.36.953,random_dot,2023.2.3,60.09225362892093,2024-03-08 19h57.40.872908 +0100,
right,right,,,,,0,0,0,1,12.452860900004453,,,,,,,,,12.444394600002852,12.804677900006936,13.605310600003577,13.588921000002301,13.588933000006364,13.605310600003577,13.605310600003577,13.605310600003577,14.573483000000124,left,0,0.9650910999989719,None,,,,,,,,,,,,sub-044342,001,2024-03-08_19h57.36.953,random_dot,2023.2.3,60.09225362892093,2024-03-08 19h57.40.872908 +0100,
left,left,,,,,0,1,1,0,14.590024300006917,,,,,,,,,14.57419380000647,14.939647800005332,15.740316300005361,15.72402900000452,15.724040600005537,15.740316300005361,15.740316300005361,15.740316300005361,16.658629800003837,left,1,0.917321400003857,None,,,,,,,,,,,,sub-044342,001,2024-03-08_19h57.36.953,random_dot,2023.2.3,60.09225362892093,2024-03-08 19h57.40.872908 +0100,
left,left,,,,,1,0,2,0,16.674995900000795,,,,,,,,,16.65913360000559,17.008090100003756,17.808796100005566,17.79234130000259,17.79235200000403,17.808796100005566,17.808796100005566,17.808796100005566,18.559952700001304,left,1,0.745004099997459,None,,,,,,,,,,,,sub-044342,001,2024-03-08_19h57.36.953,random_dot,2023.2.3,60.09225362892093,2024-03-08 19h57.40.872908 +0100,
,,,,,,,,,,18.576547700002266,,,,,,,,,18.560479600004328,19.360023200002615,20.16074210000079,20.144412900001043,20.144423900004767,20.16074210000079,20.16074210000079,20.16074210000079,,,,,,,,,,,,,,,,,,,,,,,,
