direction,corrAns,randomInstr,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,instr.thisRepN,instr.thisTrialN,instr.thisN,instr.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textInst1.started,respInstr1.started,instruction_1.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,0.02876960000139661,0.053051099996082485,0.053051099996082485,0.8791732999961823,space,0.8229438999987906,None,,,,,,,,,,,,,,,,,,,,,,,,,sub-051922,001,2024-03-08_20h36.55.065,random_dot,2023.2.3,59.93816778541554,2024-03-08 20h36.59.546842 +0100,
right,right,,0,0,0,1,,,,,,,,,,,,,0.8971667000005255,,,,,,,,,0.8836392999946838,2.0796569000012823,2.8802945999996155,2.863945799996145,2.863956799999869,2.8802945999996155,2.8802945999996155,2.8802945999996155,3.147820199999842,right,1,0.2515083999969647,None,3.1481730000014068,3.1621306000015466,3.6642452999949455,3.6478731999959564,,,,,,,,sub-051922,001,2024-03-08_20h36.55.065,random_dot,2023.2.3,59.93816778541554,2024-03-08 20h36.59.546842 +0100,
left,left,,0,1,1,0,,,,,,,,,,,,,3.6642452999949455,,,,,,,,,3.6480630000005476,4.014605999997002,4.815253799999482,4.798894699997618,4.798905399999057,4.815253799999482,4.815253799999482,4.815253799999482,5.147870900000271,left,1,0.3245556999972905,None,5.148183199999039,5.163806999997178,,5.649286899999424,,,,,,,,sub-051922,001,2024-03-08_20h36.55.065,random_dot,2023.2.3,59.93816778541554,2024-03-08 20h36.59.546842 +0100,
left,left,,1,0,2,0,,,,,,,,,,,,,5.665890500000387,,,,,,,,,5.649488099996233,5.9995306999990134,6.815244400000665,6.8004940999962855,6.800505599996541,6.815244400000665,6.815244400000665,6.815244400000665,7.1829432000013185,right,0,0.3644690000000992,None,7.183184199995594,7.19886929999484,7.700923699994746,7.682924599997932,,,,,,,,sub-051922,001,2024-03-08_20h36.55.065,random_dot,2023.2.3,59.93816778541554,2024-03-08 20h36.59.546842 +0100,
right,right,,1,1,3,1,,,,,,,,,,,,,7.700923699994746,,,,,,,,,7.683105799995246,8.483304399996996,9.283959599997615,9.267625699998462,9.267636999997194,9.283959599997615,9.283959599997615,9.283959599997615,9.501384999995935,right,1,0.20706870000140043,None,9.501621099996555,9.517456599998695,,10.002884999994421,,,,,,,,sub-051922,001,2024-03-08_20h36.55.065,random_dot,2023.2.3,59.93816778541554,2024-03-08 20h36.59.546842 +0100,
left,left,accuracy,,,,,0,0,0,0,0,0,0,0,,,,,14.94025959999999,,,,,,,,,14.926496299995051,16.123062499995285,16.925318900001002,16.908951999997953,16.908964299997024,16.925318900001002,16.925318900001002,16.925318900001002,17.809862999994948,right,0,0.8782745999997132,None,,,,,10.007114899999578,10.022213500000362,10.022213500000362,14.922604799998226,space,4.89292469999782,None,sub-051922,001,2024-03-08_20h36.55.065,random_dot,2023.2.3,59.93816778541554,2024-03-08 20h36.59.546842 +0100,
right,right,accuracy,,,,,0,0,0,0,0,1,1,1,,,,,17.826063799999247,,,,,,,,,17.810349999999744,18.60831419999886,19.410665899995365,19.39426359999925,19.394275099999504,19.410665899995365,19.410665899995365,19.410665899995365,19.64304219999758,right,1,0.2249764000007417,None,,,,,,,,,,,,sub-051922,001,2024-03-08_20h36.55.065,random_dot,2023.2.3,59.93816778541554,2024-03-08 20h36.59.546842 +0100,
left,left,accuracy,,,,,0,0,0,0,1,0,2,0,,,,,19.66079809999792,,,,,,,,,19.643438799997966,20.8451791999978,21.64585739999893,21.629515900000115,21.62952740000037,21.64585739999893,21.64585739999893,21.64585739999893,21.67819139999483,right,0,0.021537200002057943,None,,,,,,,,,,,,sub-051922,001,2024-03-08_20h36.55.065,random_dot,2023.2.3,59.93816778541554,2024-03-08 20h36.59.546842 +0100,
right,right,accuracy,,,,,0,0,0,0,1,1,3,1,,,,,21.695841399996425,,,,,,,,,21.67859170000156,22.479981500000576,23.27886220000073,23.264105299997027,23.264115999998467,23.27886220000073,23.27886220000073,23.27886220000073,23.99657849999494,right,1,0.701864900001965,None,,,,,,,,,,,,sub-051922,001,2024-03-08_20h36.55.065,random_dot,2023.2.3,59.93816778541554,2024-03-08 20h36.59.546842 +0100,
,,accuracy,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-051922,001,2024-03-08_20h36.55.065,random_dot,2023.2.3,59.93816778541554,2024-03-08 20h36.59.546842 +0100,
