direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textInst1.started,respInstr1.started,instruction_1.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,instruction_2.started,textInstr2.started,respInstr2.started,instruction_2.stopped,respInstr2.keys,respInstr2.rt,respInstr2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.03761579999991227,0.058470100000704406,0.058470100000704406,3.081482800000231,space,3.012087099999917,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-065761,001,2024-03-08_15h47.31.228,random_dot,2023.2.3,59.89060382323599,2024-03-08 15h47.36.337177 +0100,
right,right,0,0,0,1,,,,,,,,,3.0944616999986465,,,,,,,,,3.0857818000004045,3.1959934000005887,3.9948618000016722,3.9803978000018105,3.9804087999982585,3.9948618000016722,3.9948618000016722,3.9948618000016722,5.099067399998603,left,0,1.0915241000002425,None,5.099592400001711,5.112843200000498,5.613280300000042,5.598343500001647,,,,,,,,,,,,,,,sub-065761,001,2024-03-08_15h47.31.228,random_dot,2023.2.3,59.89060382323599,2024-03-08 15h47.36.337177 +0100,
left,left,0,1,1,0,,,,,,,,,5.613280300000042,,,,,,,,,5.598533299998962,5.9650326000009954,6.780621000001702,6.76431379999849,6.764326500000607,6.780621000001702,6.780621000001702,6.780621000001702,7.281755799998791,right,0,0.4982806999978493,None,7.2820114999994985,7.300140200000897,,7.798173800001678,,,,,,,,,,,,,,,sub-065761,001,2024-03-08_15h47.31.228,random_dot,2023.2.3,59.89060382323599,2024-03-08 15h47.36.337177 +0100,
right,right,1,0,2,1,,,,,,,,,7.815118800001073,,,,,,,,,7.798493900001631,8.982381999998324,9.783113699999376,9.766639099998429,9.766650400000799,9.783113699999376,9.783113699999376,9.783113699999376,10.40365219999876,right,1,0.6064230999982101,None,10.403930799999216,10.416988400000264,10.917558500001178,10.901200699998299,,,,,,,,,,,,,,,sub-065761,001,2024-03-08_15h47.31.228,random_dot,2023.2.3,59.89060382323599,2024-03-08 15h47.36.337177 +0100,
left,left,1,1,3,0,,,,,,,,,10.917558500001178,,,,,,,,,10.901522500000283,11.269412500001636,12.070043100000476,12.0536491999992,12.053660099998524,12.070043100000476,12.070043100000476,12.070043100000476,12.871523500001786,left,1,0.8003919999973732,None,12.871862500000134,12.888279700000567,13.385326499999792,13.371506799998315,,,,,,,,,,,,,,,sub-065761,001,2024-03-08_15h47.31.228,random_dot,2023.2.3,59.89060382323599,2024-03-08 15h47.36.337177 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.37155250000069,13.385326499999792,13.385326499999792,38.49076630000127,space,25.09246129999883,None,,,,,,,,sub-065761,001,2024-03-08_15h47.31.228,random_dot,2023.2.3,59.89060382323599,2024-03-08 15h47.36.337177 +0100,
right,right,,,,,0,0,0,1,,,,,38.507008000000496,,,,,,,,,38.49476929999946,38.59022280000136,39.39084880000155,39.37457060000088,39.37458029999834,39.39084880000155,39.39084880000155,39.39084880000155,40.47847460000048,right,1,1.0705984999985958,None,,,,,,,,,,,,,,,,,,,sub-065761,001,2024-03-08_15h47.31.228,random_dot,2023.2.3,59.89060382323599,2024-03-08 15h47.36.337177 +0100,
left,left,,,,,0,1,1,0,,,,,40.491780799999106,,,,,,,,,40.478964999998425,40.8420901999998,41.644491999999445,41.62656770000103,41.62658050000027,41.644491999999445,41.644491999999445,41.644491999999445,42.26307090000046,left,1,0.6173393999997643,None,,,,,,,,,,,,,,,,,,,sub-065761,001,2024-03-08_15h47.31.228,random_dot,2023.2.3,59.89060382323599,2024-03-08 15h47.36.337177 +0100,
right,right,,,,,1,0,2,1,,,,,42.27926070000103,,,,,,,,,42.26352079999924,43.079083500000706,43.8797940000004,43.86338640000031,43.86339809999845,43.8797940000004,43.8797940000004,43.8797940000004,45.04857300000003,right,1,1.1499721000000136,None,,,,,,,,,,,,,,,,,,,sub-065761,001,2024-03-08_15h47.31.228,random_dot,2023.2.3,59.89060382323599,2024-03-08 15h47.36.337177 +0100,
left,left,,,,,1,1,3,0,,,,,45.06417679999868,,,,,,,,,45.04896999999983,45.414422199999535,46.2133548999991,46.19879639999999,46.19880850000118,46.2133548999991,46.2133548999991,46.2133548999991,46.797761900001206,right,0,0.57704339999691,None,,,,,,,,,,,,,,,,,,,sub-065761,001,2024-03-08_15h47.31.228,random_dot,2023.2.3,59.89060382323599,2024-03-08 15h47.36.337177 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.79806000000099,46.816161499999,46.816161499999,54.97095669999908,space,8.1424365999992,None,sub-065761,001,2024-03-08_15h47.31.228,random_dot,2023.2.3,59.89060382323599,2024-03-08 15h47.36.337177 +0100,
,,,,,,,,,,,,,,54.9871404000005,,,,,,,,,54.974970100000064,55.32079470000099,56.12144800000169,56.10493990000032,56.10495810000066,56.12144800000169,56.12144800000169,56.12144800000169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
