direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,instruction_1.started,textSpeedInst.started,respSpeedInstr.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.03230960000655614,0.05648759999894537,0.05648759999894537,17.589293400000315,space,17.5242750000034,None,,,,,,,,,,,,,,,,,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
right,right,0,0,0,1,17.60370310000144,,,,,,,,,17.593592500008526,18.40422270000272,19.204806699999608,19.188597900007153,19.188612700003432,19.204806699999608,19.204806699999608,19.28833000001032,19.93796840000141,right,0.6448593999957666,None,19.938308100012364,19.953794100001687,20.439249800008838,,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
left,left,0,1,1,0,20.4559014000115,,,,,,,,,20.43949670001166,21.64013960000011,22.44083700000192,22.423144300002605,22.42315580000286,22.44083700000192,22.44083700000192,22.52436690000468,23.19205640000291,left,0.6646158999938052,None,23.192277599999215,23.208127600009902,23.692187799999374,23.70862109999871,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
right,right,1,0,2,1,23.70862109999871,,,,,,,,,23.69239200001175,23.792012800011435,24.609294800000498,24.59139720001258,24.591408799999044,24.609294800000498,24.609294800000498,24.692738500001724,25.143633800005773,right,0.4413099999947008,None,25.143864300000132,25.15980040001159,25.64383080000698,25.66011010001239,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
left,left,1,1,3,0,25.66011010001239,,,,,,,,,25.644041600011406,25.993800600001123,26.792839500005357,26.778125400000135,26.778136600012658,26.792839500005357,26.792839500005357,26.877848000003723,27.827513800002635,left,0.9346449000004213,None,27.827725100010866,27.8454228000046,28.34579289999965,,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
left,left,2,0,4,0,28.360796900000423,,,,,,,,,28.346002800011775,29.128153700003168,29.93047770000703,29.913979600009043,29.913991000008537,29.93047770000703,29.93047770000703,30.013757200009422,31.14849220000906,left,1.1191216000006534,None,31.148707500004093,31.16482000000542,31.64877780000097,31.665207400001236,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
right,right,2,1,5,1,31.665207400001236,,,,,,,,,31.64898740001081,32.44922690000385,33.24979300000996,33.23348059999989,33.233490400001756,33.24979300000996,33.24979300000996,33.3332364000089,34.034374400012894,right,0.6956368000101065,None,34.034610300004715,34.05061150000256,34.53453280001122,34.55095160000201,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
right,right,3,0,6,1,34.55095160000201,,,,,,,,,34.53473740001209,34.63430700000026,35.43497390000266,35.418694100008,35.418708800003515,35.43497390000266,35.43497390000266,35.51842000000761,36.086132700002054,right,0.5588206000102218,None,36.086342499998864,36.10217170001124,36.586300300012226,36.602696100002504,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
left,left,3,1,7,0,36.602696100002504,,,,,,,,,36.586503400001675,37.38667330000317,38.187316600000486,38.17079220000596,38.17080370000622,38.187316600000486,38.187316600000486,38.28572320000967,38.75353090000863,left,0.45533710000745486,None,38.75374250000459,38.77103540000098,39.27152530000603,,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
right,right,4,0,8,1,39.28663250000682,,,,,,,,,39.27173140000377,39.605085200004396,40.405704800010426,40.38778660001117,40.38779740000609,40.405704800010426,40.405704800010426,40.4875241000118,40.85666380000475,right,0.3656844000070123,None,40.85688050001045,40.872867800004315,41.37318320000486,,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
left,left,4,1,9,0,41.38851220000652,,,,,,,,,41.37338920000184,41.70681040000636,42.507500000006985,42.4911288000003,42.4911398000113,42.507500000006985,42.507500000006985,42.59104250000382,43.54219630001171,left,0.9419226999889361,None,43.542428100001416,43.55677030001243,44.042435300012585,44.05879670000286,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
right,right,5,0,10,1,44.05879670000286,,,,,,,,,44.04263890000584,44.842754100012826,45.643451600000844,45.627017100006924,45.627027700000326,45.643451600000844,45.643451600000844,45.726861600007396,46.444685700000264,right,0.7097210999927483,None,46.44492720000562,46.46078600001056,46.944959200001904,46.96121440001298,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
left,left,5,1,11,0,46.96121440001298,,,,,,,,,46.94517070001166,48.14551090000896,48.94624420000764,48.929852300003404,48.929863600002136,48.94624420000764,48.94624420000764,49.029548500009696,49.5805071000068,left,0.543097800007672,None,49.58073260000674,49.59679730000789,50.08076830000209,50.09724950000236,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
left,left,6,0,12,0,50.09724950000236,,,,,,,,,50.08097180000914,50.88117730000522,51.6817374000093,51.665461500000674,51.665472699998645,51.6817374000093,51.6817374000093,51.76514620000671,52.16608070000075,left,0.3915100000012899,None,52.16629200000898,52.18215770000825,52.666305700011435,52.682658700010506,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
right,right,6,1,13,1,52.682658700010506,,,,,,,,,52.66650780000782,53.86695830000099,54.66760470000736,54.65127830000711,54.651289400004316,54.66760470000736,54.66760470000736,54.75100210000528,55.16690350000863,left,0.4063099000049988,None,55.16712600000028,55.18297110000276,55.66844810001203,,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
left,left,7,0,14,0,55.683494800003245,,,,,,,,,55.66866590001155,56.46910729999945,57.269728800005396,57.25346880000143,57.25348160001158,57.269728800005396,57.269728800005396,57.35325379999995,57.80396630000905,left,0.4434884000074817,None,57.80418980000832,57.82015670000692,58.30423000000883,58.32063810000545,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
right,right,7,1,15,1,58.32063810000545,,,,,,,,,58.304436600010376,59.10462880000705,59.9052684000053,59.888907200001995,59.888918399999966,59.9052684000053,59.9052684000053,59.988789200011524,60.773799500006135,right,0.7840024999895832,None,60.77404310001293,60.787702700006776,61.27346060000127,61.289861900004325,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
right,right,8,0,16,1,61.289861900004325,,,,,,,,,61.273683800012805,61.62338280001131,62.43949060000887,62.42430400000012,62.42431560000114,62.43949060000887,62.43949060000887,62.52411800000118,63.2253774000128,left,0.6972723999933805,None,63.22559230000479,63.239655199999106,63.72543040000892,63.74171990000468,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
left,left,8,1,17,0,63.74171990000468,,,,,,,,,63.72563880000962,64.52587670000503,65.32479860000603,65.3100831000047,65.31009410000115,65.32479860000603,65.32479860000603,65.42489249999926,65.89244510000572,left,0.4534252000012202,None,65.89268980000634,65.910191700008,66.39405270000861,,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
right,right,9,0,18,1,66.4106429000094,,,,,,,,,66.39425820000179,66.74426980000862,67.54489780000586,67.52702300000237,67.52703380001185,67.54489780000586,67.54489780000586,67.62841410000692,68.16261750001286,right,0.528997099987464,None,68.16284190000442,68.1787930999999,68.67934620000597,,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
left,left,9,1,19,0,68.69593860000896,,,,,,,,,68.67955559999973,69.0127693000104,69.81344389999867,69.79711820000375,69.79712940000172,69.81344389999867,69.81344389999867,69.89692410000134,70.34773030001088,left,0.43562720000045374,None,70.34795760000998,70.36401300001307,70.84792100000777,70.86263390000386,,,,sub-082111,001,2024-03-07_12h48.39.525,random_dot,2023.2.3,59.87597291328933,2024-03-07 12h48.44.213064 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.84795880000456,70.86263390000386,70.86263390000386,,,,,,,,
