direction,corrAns,randomInstr,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,instr.thisRepN,instr.thisTrialN,instr.thisN,instr.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,instruction_1.started,textInst1.started,respInstr1.started,instruction_1.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.03104019999591401,0.055716800001391675,0.055716800001391675,1.2139520999990054,space,1.1410895999943023,None,,,,,,,,,,,,,,,,,,,,,,,,sub-086036,001,2024-03-08_20h33.12.841,random_dot,2023.2.3,59.92279547016509,2024-03-08 20h33.17.209116 +0100,
right,right,,0,0,0,1,,,,,,,,,1.2299691000007442,,,,,,,,,1.2181492000017897,2.0142303999964497,2.8147045000005164,2.7982340999951703,2.7982459999984712,2.8147045000005164,2.8147045000005164,2.8147045000005164,3.0155417999994825,right,1,0.19725170000310754,None,3.015975199996319,3.0339783000017633,3.5320117000010214,,,,,,,,sub-086036,001,2024-03-08_20h33.12.841,random_dot,2023.2.3,59.92279547016509,2024-03-08 20h33.17.209116 +0100,
left,left,,0,1,1,0,,,,,,,,,3.5486415999985184,,,,,,,,,3.5322102999998606,3.8655644999962533,4.666150999997626,4.649863099999493,4.649874599999748,4.666150999997626,4.666150999997626,4.666150999997626,4.917045299996971,right,0,0.24212460000126157,None,4.917306800001825,4.9356612999981735,5.418748299998697,,,,,,,,sub-086036,001,2024-03-08_20h33.12.841,random_dot,2023.2.3,59.92279547016509,2024-03-08 20h33.17.209116 +0100,
left,left,,1,0,2,0,,,,,,,,,5.435313699999824,,,,,,,,,5.418937700000242,6.617964500001108,7.418476599996211,7.403847299996414,7.403857899997092,7.418476599996211,7.418476599996211,7.418476599996211,7.50495509999746,right,0,0.07399989999976242,None,7.5052253999965615,7.52039369999693,8.019146699996782,,,,,,,,sub-086036,001,2024-03-08_20h33.12.841,random_dot,2023.2.3,59.92279547016509,2024-03-08 20h33.17.209116 +0100,
right,right,,1,1,3,1,,,,,,,,,8.035761799998,,,,,,,,,8.019403300000704,9.21999340000184,10.022499999999127,10.005948599995463,10.005960399998003,10.022499999999127,10.022499999999127,10.022499999999127,10.305225999996765,right,1,0.2775049999982002,None,10.305513699997391,10.323438599996734,10.806401499998174,,,,,,,,sub-086036,001,2024-03-08_20h33.12.841,random_dot,2023.2.3,59.92279547016509,2024-03-08 20h33.17.209116 +0100,
right,right,accuracy,,,,,0,0,0,1,0,0,0,1,15.458464299998013,,,,,,,,,15.446669899996778,16.244274999997288,17.059928599999694,17.04333339999721,17.04334430000017,17.059928599999694,17.059928599999694,17.059928599999694,17.413535300001968,right,1,0.33719749999727355,None,,,,10.811358999999356,10.826234100000875,10.826234100000875,15.442368199997873,space,4.609934800006158,None,sub-086036,001,2024-03-08_20h33.12.841,random_dot,2023.2.3,59.92279547016509,2024-03-08 20h33.17.209116 +0100,
left,left,accuracy,,,,,0,0,0,1,0,1,1,0,17.428615500000888,,,,,,,,,17.414026400001603,17.77879060000123,18.596168500000203,18.57971340000222,18.57972560000053,18.596168500000203,18.596168500000203,18.596168500000203,18.98141829999804,right,0,0.36860120000346797,None,,,,,,,,,,,sub-086036,001,2024-03-08_20h33.12.841,random_dot,2023.2.3,59.92279547016509,2024-03-08 20h33.17.209116 +0100,
right,right,accuracy,,,,,0,0,0,1,1,0,2,1,18.99655399999756,,,,,,,,,18.98179430000164,19.79718639999919,20.59780529999989,20.581402499999967,20.58141279999836,20.59780529999989,20.59780529999989,20.59780529999989,20.9997252999965,right,1,0.390328599998611,None,,,,,,,,,,,sub-086036,001,2024-03-08_20h33.12.841,random_dot,2023.2.3,59.92279547016509,2024-03-08 20h33.17.209116 +0100,
left,left,accuracy,,,,,0,0,0,1,1,1,3,0,21.015003699998488,,,,,,,,,21.00010420000035,21.115022099998896,21.91567439999926,21.899222899999586,21.89923429999908,21.91567439999926,21.91567439999926,21.91567439999926,22.565413099997386,right,0,0.6408529999971506,None,,,,,,,,,,,sub-086036,001,2024-03-08_20h33.12.841,random_dot,2023.2.3,59.92279547016509,2024-03-08 20h33.17.209116 +0100,
,,accuracy,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-086036,001,2024-03-08_20h33.12.841,random_dot,2023.2.3,59.92279547016509,2024-03-08 20h33.17.209116 +0100,
,,,,,,,,,,,,,,,22.58350000000064,,,,,,,,,,,,,,,,,,,,,,,,,22.565859399997862,22.58350000000064,22.58350000000064,,,,,,,,,,,,
