direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textInst1.started,respInstr1.started,instruction_1.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,instruction_2.started,textInstr2.started,respInstr2.started,instruction_2.stopped,respInstr2.keys,respInstr2.rt,respInstr2.duration,goodbye.started,goodbye_text.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.03892719999930705,0.06615989999954763,0.06615989999954763,1.4299700999999914,space,1.3484148000006826,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
right,right,0,0,0,1,,,,,,,,,1.4461329999994632,,,,,,,,,1.4346552999995765,1.529483899999832,2.3300970000000234,2.3138299000002007,2.3138419999995676,2.3300970000000234,2.3300970000000234,2.3300970000000234,3.4984196000004886,left,1.1646197999998549,None,3.49875289999909,3.5143614999997226,4.014954799999032,3.9985349999988102,,,,,,,,,,,,,,,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
left,left,0,1,1,0,,,,,,,,,4.014954799999032,,,,,,,,,3.998730199999045,4.3485295999998925,5.150883500000418,5.1346567000000505,5.13466840000001,5.150883500000418,5.150883500000418,5.150883500000418,5.666984600000433,right,0.5121935999995912,None,5.6671808999999485,5.682790799999566,6.183296600000176,6.167106299999432,,,,,,,,,,,,,,,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
right,right,1,0,2,1,,,,,,,,,6.183296600000176,,,,,,,,,6.167304200000217,6.2667412999999215,7.069146399999227,7.052824899999905,7.0528357999992295,7.069146399999227,7.069146399999227,7.069146399999227,7.718387799999618,right,0.6416853999999148,None,7.718599399999221,7.7345783000000665,8.235049200000503,8.218730999999025,,,,,,,,,,,,,,,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
left,left,1,1,3,0,,,,,,,,,8.235049200000503,,,,,,,,,8.218957299999602,9.019145700000081,9.82147470000018,9.803399599999466,9.803410900000017,9.82147470000018,9.82147470000018,9.82147470000018,10.472988600000463,left,0.6501989000007597,None,10.473262100000284,10.486836099998982,10.986579999998867,10.972779800000353,,,,,,,,,,,,,,,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.972815199998877,10.986579999998867,10.986579999998867,18.393930799998998,space,7.39655970000058,None,,,,,,,,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
right,right,,,,,0,0,0,1,,,,,18.41032979999909,,,,,,,,,18.397953199999392,18.493522499999017,19.29412980000052,19.277831999999762,19.27784210000027,19.29412980000052,19.29412980000052,19.29412980000052,19.978490299999976,right,0.6720961999999417,None,,,,,,,,,,,,,,,,,,,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
left,left,,,,,0,1,1,0,,,,,19.996553799999674,,,,,,,,,19.978906700000152,21.18087519999972,21.981642999999167,21.965143800000078,21.965156000000206,21.981642999999167,21.981642999999167,21.981642999999167,22.480782099999487,right,0.48868940000102157,None,,,,,,,,,,,,,,,,,,,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
right,right,,,,,1,0,2,1,,,,,22.498636899999838,,,,,,,,,22.481133299999783,23.281044800000018,24.081592900000032,24.065365500000553,24.065377299999454,24.081592900000032,24.081592900000032,24.081592900000032,24.749213099999906,right,0.6533345999996527,None,,,,,,,,,,,,,,,,,,,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
left,left,,,,,1,1,3,0,,,,,24.767073699998946,,,,,,,,,24.74952569999914,25.09910409999975,25.901449400000274,25.884965699999157,25.88497610000013,25.901449400000274,25.901449400000274,25.901449400000274,26.417307199999414,left,0.512670000000071,None,,,,,,,,,,,,,,,,,,,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.417574799999784,26.433386799999425,26.433386799999425,33.22290070000054,space,6.773943200001668,None,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
left,left,,,,,,,,,0,0,0,0,33.239129399999,,,,,,,,,33.22690469999907,34.022999900000286,34.823716400000194,34.80744849999974,34.80746079999881,34.823716400000194,34.823716400000194,34.823716400000194,35.36045290000038,right,0.5353532000008272,None,,,,,,,,,,,,,,,,,,,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
right,right,,,,,,,,,0,1,1,1,35.376075899999705,,,,,,,,,35.36094319999938,35.476063899999644,36.27515999999923,36.260227900000245,36.26023919999898,36.27515999999923,36.27515999999923,36.27515999999923,36.64245409999967,right,0.3552944999992178,None,,,,,,,,,,,,,,,,,,,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
right,right,,,,,,,,,1,0,2,1,36.658552099999724,,,,,,,,,36.64278809999996,36.99385849999999,37.79274880000048,37.77653559999999,37.77654789999906,37.79274880000048,37.79274880000048,37.79274880000048,38.126915499999086,left,0.31813700000020617,None,,,,,,,,,,,,,,,,,,,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
left,left,,,,,,,,,1,1,3,0,38.143474599999536,,,,,,,,,38.12722539999959,38.47671749999972,39.27742269999908,39.26094790000025,39.26095929999974,39.27742269999908,39.27742269999908,39.27742269999908,39.54499620000024,right,0.2652047000010498,None,,,,,,,,,,,,,,,,,,,,,sub-095094,001,2024-03-08_15h07.10.033,random_dot,2023.2.3,59.952577511056305,2024-03-08 15h07.13.964052 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.54521879999993,39.56082289999904,,,,,,,,
