direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textInst1.started,respInstr1.started,instruction_1.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,instruction_2.started,textInstr2.started,respInstr2.started,instruction_2.stopped,respInstr2.keys,respInstr2.rt,respInstr2.duration,goodbye.started,goodbye_text.started,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.033268999999563675,0.05524129999867,0.05524129999867,1.5753102999988187,space,1.5046103000004223,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-095313,001,2024-03-08_15h08.34.264,random_dot,2023.2.3,59.92746379794215,2024-03-08 15h08.39.069887 +0100,
right,right,0,0,0,1,,,,,,,,,1.5918259999998554,,,,,,,,,1.5796414999986155,2.3922322999987955,3.1928787999986525,3.176389999998719,3.1764012000003277,3.1928787999986525,3.1928787999986525,3.1928787999986525,3.7116246999994473,right,0.502988500000356,None,3.711954099999275,3.724744199998895,4.227119899998797,4.20942709999872,,,,,,,,,,,,,,,,,,sub-095313,001,2024-03-08_15h08.34.264,random_dot,2023.2.3,59.92746379794215,2024-03-08 15h08.39.069887 +0100,
left,left,0,1,1,0,,,,,,,,,4.227119899998797,,,,,,,,,4.209662699999171,4.5772435999988375,5.377853799998775,5.361514799998986,5.361525700000129,5.377853799998775,5.377853799998775,5.377853799998775,5.994608599999992,right,0.6068197000004147,None,5.994834399998581,6.012704599999779,,6.495656099999906,,,,,,,,,,,,,,,,,,sub-095313,001,2024-03-08_15h08.34.264,random_dot,2023.2.3,59.92746379794215,2024-03-08 15h08.39.069887 +0100,
left,left,1,0,2,0,,,,,,,,,6.512188299999252,,,,,,,,,6.495839699999124,7.294489399999293,8.095065699999395,8.07869329999994,8.0787049999999,8.095065699999395,8.095065699999395,8.095065699999395,8.596169099999315,right,0.49707610000041313,None,8.596383899999637,8.614691499999026,,9.112534899999446,,,,,,,,,,,,,,,,,,sub-095313,001,2024-03-08_15h08.34.264,random_dot,2023.2.3,59.92746379794215,2024-03-08 15h08.39.069887 +0100,
right,right,1,1,3,1,,,,,,,,,9.12939279999955,,,,,,,,,9.112710899999001,9.196185799999512,9.99660909999875,9.980286299998625,9.980297699999937,9.99660909999875,9.99660909999875,9.99660909999875,10.31663849999859,left,0.3004655000004277,None,10.31684739999946,10.330260599999747,10.831288199999108,10.815990099999908,,,,,,,,,,,,,,,,,,sub-095313,001,2024-03-08_15h08.34.264,random_dot,2023.2.3,59.92746379794215,2024-03-08 15h08.39.069887 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.816031700000167,10.831288199999108,10.831288199999108,19.60692509999899,space,8.768888599999627,None,,,,,,,,,,,sub-095313,001,2024-03-08_15h08.34.264,random_dot,2023.2.3,59.92746379794215,2024-03-08 15h08.39.069887 +0100,
left,left,,,,,0,0,0,0,,,,,19.62308529999973,,,,,,,,,19.610610599998836,19.95656289999897,20.757435699999405,20.740841199998613,20.7408521999987,20.757435699999405,20.757435699999405,20.757435699999405,21.857942200000252,left,1.0994030000001658,None,,,,,,,,,,,,,,,,,,,,,,sub-095313,001,2024-03-08_15h08.34.264,random_dot,2023.2.3,59.92746379794215,2024-03-08 15h08.39.069887 +0100,
right,right,,,,,0,1,1,1,,,,,21.875764499998695,,,,,,,,,21.858471599998666,22.658911499998794,23.458118499998818,23.44156920000023,23.441581600000063,23.458118499998818,23.458118499998818,23.458118499998818,24.695120499998666,right,1.221588200000042,None,,,,,,,,,,,,,,,,,,,,,,sub-095313,001,2024-03-08_15h08.34.264,random_dot,2023.2.3,59.92746379794215,2024-03-08 15h08.39.069887 +0100,
left,left,,,,,1,0,2,0,,,,,24.710534499999994,,,,,,,,,24.695451099998536,24.810672199999317,25.611278299998958,25.595051799999055,25.595062899999903,25.611278299998958,25.611278299998958,25.611278299998958,26.530127699999866,left,0.9012029999994411,None,,,,,,,,,,,,,,,,,,,,,,sub-095313,001,2024-03-08_15h08.34.264,random_dot,2023.2.3,59.92746379794215,2024-03-08 15h08.39.069887 +0100,
right,right,,,,,1,1,3,1,,,,,26.54544889999852,,,,,,,,,26.530456499998763,27.327500999999756,28.1283571999993,28.11361819999911,28.113629699999365,28.1283571999993,28.1283571999993,28.1283571999993,28.448311999998623,right,0.30333539999992354,None,,,,,,,,,,,,,,,,,,,,,,sub-095313,001,2024-03-08_15h08.34.264,random_dot,2023.2.3,59.92746379794215,2024-03-08 15h08.39.069887 +0100,
