direction,corrAns,randomInstr,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,instr.thisRepN,instr.thisTrialN,instr.thisN,instr.thisIndex,loop.thisRepN,loop.thisTrialN,loop.thisN,loop.thisIndex,thisRow.t,notes,general_instruction.started,textInstr.started,respInstr.started,general_instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,info.started,instrBeginTest.started,keyRespBeginTest.started,info.stopped,keyRespBeginTest.keys,keyRespBeginTest.rt,keyRespBeginTest.duration,main_instruction.started,text.started,key_resp.started,main_instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,random_instruction.started,textRandomInstr.started,respRandomInstr.started,random_instruction.stopped,respRandomInstr.keys,respRandomInstr.rt,respRandomInstr.duration,goodbye.started,goodbye_text.started,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.04554120000011608,0.06853249999949185,0.06853249999949185,20.486931899999945,space,20.405600199999753,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-095799,001,2024-03-09_13h54.37.627,random_dot,2023.2.3,59.94600064274645,2024-03-09 13h54.42.301977 +0100,
left,left,accuracy,0,0,0,0,,,,,,,,,20.49955929999942,,,,,,,,,20.4913918000002,21.702365799999825,22.50301479999962,22.486610799999653,22.486621999999443,22.50301479999962,22.50301479999962,22.50301479999962,22.868833300000006,right,0,0.3543678000005457,None,22.869237400000202,22.88500699999986,23.38706209999964,23.369040900000073,,,,,,,,,,,,,,,,,,,,,,,,,sub-095799,001,2024-03-09_13h54.37.627,random_dot,2023.2.3,59.94600064274645,2024-03-09 13h54.42.301977 +0100,
right,right,speed,0,1,1,1,,,,,,,,,23.38706209999964,,,,,,,,,23.369258900000204,23.47056379999958,24.27112699999998,24.254680399999415,24.254691499999353,24.27112699999998,24.27112699999998,24.27112699999998,24.888838699999724,right,1,0.6026872000002186,None,24.88911569999982,24.90325219999977,25.40535759999966,25.388934399999926,,,,,,,,,,,,,,,,,,,,,,,,,sub-095799,001,2024-03-09_13h54.37.627,random_dot,2023.2.3,59.94600064274645,2024-03-09 13h54.42.301977 +0100,
right,right,speed,1,0,2,1,,,,,,,,,25.40535759999966,,,,,,,,,25.389140100000077,25.739060199999585,26.539666799999395,26.523332599999776,26.523344700000052,26.539666799999395,26.539666799999395,26.539666799999395,27.04049479999958,left,0,0.4945743999996921,None,27.040755799999715,27.0550346,27.557119500000226,27.540829900000062,,,,,,,,,,,,,,,,,,,,,,,,,sub-095799,001,2024-03-09_13h54.37.627,random_dot,2023.2.3,59.94600064274645,2024-03-09 13h54.42.301977 +0100,
left,left,accuracy,1,1,3,0,,,,,,,,,27.557119500000226,,,,,,,,,27.54104289999941,27.64059780000025,28.441215400000146,28.424903099999938,28.42491449999943,28.441215400000146,28.441215400000146,28.441215400000146,28.94066759999987,right,0,0.48844910000025266,None,28.9409469000002,28.956699899999876,,29.442211300000054,,,,,,,,,,,,,,,,,,,,,,,,,sub-095799,001,2024-03-09_13h54.37.627,random_dot,2023.2.3,59.94600064274645,2024-03-09 13h54.42.301977 +0100,
right,right,speed,2,0,4,1,,,,,,,,,29.458775399999467,,,,,,,,,29.442419500000142,29.792306100000133,30.592968500000097,30.574988100000155,30.57499910000024,30.592968500000097,30.592968500000097,30.592968500000097,31.092373899999984,right,1,0.48903859999973065,None,31.092658499999743,31.108551799999987,,31.593935599999895,,,,,,,,,,,,,,,,,,,,,,,,,sub-095799,001,2024-03-09_13h54.37.627,random_dot,2023.2.3,59.94600064274645,2024-03-09 13h54.42.301977 +0100,
left,left,accuracy,2,1,5,0,,,,,,,,,31.610580800000207,,,,,,,,,31.594140799999877,31.693958500000008,32.494545200000175,32.47830749999957,32.478318299999955,32.494545200000175,32.494545200000175,32.494545200000175,33.49594100000013,right,0,0.9870160000000396,None,33.49622389999968,33.512100400000236,34.01250909999999,33.996071599999595,,,,,,,,,,,,,,,,,,,,,,,,,sub-095799,001,2024-03-09_13h54.37.627,random_dot,2023.2.3,59.94600064274645,2024-03-09 13h54.42.301977 +0100,
left,left,accuracy,3,0,6,0,,,,,,,,,34.01250909999999,,,,,,,,,33.99628010000015,34.346116699999584,35.14678879999974,35.130395499999395,35.130406700000094,35.14678879999974,35.14678879999974,35.14678879999974,35.68127149999964,left,1,0.5274425000006886,None,35.68154080000022,35.69557590000022,36.19774369999959,36.18185369999992,,,,,,,,,,,,,,,,,,,,,,,,,sub-095799,001,2024-03-09_13h54.37.627,random_dot,2023.2.3,59.94600064274645,2024-03-09 13h54.42.301977 +0100,
right,right,speed,3,1,7,1,,,,,,,,,36.19774369999959,,,,,,,,,36.182079399999566,37.38197779999973,38.182820699999866,38.16622589999952,38.16623629999958,38.182820699999866,38.182820699999866,38.182820699999866,38.78364150000016,right,1,0.5875126000000819,None,38.78392029999941,38.79977549999967,39.30020869999953,39.283952199999476,,,,,,,,,,,,,,,,,,,,,,,,,sub-095799,001,2024-03-09_13h54.37.627,random_dot,2023.2.3,59.94600064274645,2024-03-09 13h54.42.301977 +0100,
left,left,accuracy,4,0,8,0,,,,,,,,,39.30020869999953,,,,,,,,,39.28417769999942,40.48462610000024,41.285185300000194,41.268803099999786,41.26881400000002,41.285185300000194,41.285185300000194,41.285185300000194,41.76945609999984,left,1,0.46879900000021735,None,41.76971979999962,41.7856683,42.2861426999998,42.26965819999987,,,,,,,,,,,,,,,,,,,,,,,,,sub-095799,001,2024-03-09_13h54.37.627,random_dot,2023.2.3,59.94600064274645,2024-03-09 13h54.42.301977 +0100,
