"id","trial","word","color","congruent","resp","corr","rt"
"sub-154989",1,"rot","red",1,"r",1,1.06397909997031
"sub-154989",2,"rot","red",1,"r",1,0.737025499925949
"sub-154989",3,"blau","blue",1,"b",1,1.18833030003589
"sub-154989",4,"gelb","yellow",1,"g",1,1.200789699913
"sub-154989",5,"rot","yellow",0,"g",1,1.6688681000378
"sub-154989",6,"blau","yellow",0,"g",1,1.58790319995023
"sub-154989",7,"blau","red",0,"r",1,1.28948949999176
"sub-154989",8,"gelb","red",0,"r",1,0.811855500098318
"sub-154989",9,"gelb","blue",0,"b",1,1.60791879997123
"sub-154989",10,"gelb","yellow",1,"g",1,2.05172460002359
"sub-154989",11,"blau","blue",1,"b",1,1.54191530006938
"sub-154989",12,"rot","blue",0,"b",1,0.649964799988084
"sub-154989",13,"gelb","yellow",1,"g",1,1.42489580006804
"sub-154989",14,"rot","red",1,"r",1,1.46345579996705
"sub-154989",15,"blau","blue",1,"b",1,1.24506879993714
"sub-154989",16,"blau","red",0,"r",1,2.34652659995481
"sub-154989",17,"gelb","blue",0,"b",1,1.621735899942
"sub-154989",18,"rot","red",1,"r",1,1.31769769999664
"sub-154989",19,"gelb","yellow",1,"g",1,1.71172899997327
"sub-154989",20,"blau","yellow",0,"g",1,1.19872119999491
"sub-154989",21,"rot","yellow",0,"g",1,0.799493500031531
"sub-154989",22,"rot","blue",0,"b",1,3.09687820007093
"sub-154989",23,"blau","blue",1,"b",1,0.765553100034595
"sub-154989",24,"gelb","red",0,"r",1,1.42490960005671
"sub-154989",25,"rot","yellow",0,"g",1,2.17486039991491
"sub-154989",26,"gelb","yellow",1,"g",1,1.18652500002645
"sub-154989",27,"blau","blue",1,"b",1,1.58046059997287
"sub-154989",28,"gelb","blue",0,"b",1,0.724536299938336
"sub-154989",29,"gelb","yellow",1,"g",1,1.3249340999173
"sub-154989",30,"rot","red",1,"r",1,1.22616560000461
"sub-154989",31,"rot","blue",0,"b",1,2.16902939998545
"sub-154989",32,"blau","blue",1,"b",1,1.12197069998365
"sub-154989",33,"blau","red",0,"r",1,1.95329019997735
"sub-154989",34,"blau","yellow",0,"g",1,1.00890069990419
"sub-154989",35,"rot","red",1,"r",1,1.31424410000909
"sub-154989",36,"gelb","red",0,"r",1,1.44990480004344
"sub-154989",37,"rot","red",1,"r",1,0.645207199966535
"sub-154989",38,"rot","red",1,"r",1,0.928015499957837
"sub-154989",39,"rot","yellow",0,"g",1,2.64422899996862
"sub-154989",40,"gelb","blue",0,"b",1,1.2439823000459
"sub-154989",41,"gelb","yellow",1,"g",1,1.96091229992453
"sub-154989",42,"blau","yellow",0,"g",1,1.14427179994527
"sub-154989",43,"blau","blue",1,"b",1,1.30628679995425
"sub-154989",44,"blau","blue",1,"b",1,0.633824500022456
"sub-154989",45,"rot","blue",0,"b",1,1.15310459991451
"sub-154989",46,"gelb","red",0,"r",1,1.0524507999653
"sub-154989",47,"blau","red",0,"r",1,0.609759699902497
"sub-154989",48,"gelb","yellow",1,"g",1,2.19771950005088
"sub-154989",49,"blau","blue",1,"b",1,1.19629310001619
"sub-154989",50,"gelb","yellow",1,"g",1,1.66192660003435
"sub-154989",51,"rot","red",1,"r",1,1.05369380000047
"sub-154989",52,"blau","red",0,"r",1,0.690660099964589
"sub-154989",53,"rot","red",1,"r",1,0.59466760000214
"sub-154989",54,"blau","yellow",0,"g",1,1.16543589998037
"sub-154989",55,"blau","blue",1,"b",1,1.33488019998185
"sub-154989",56,"gelb","red",0,"r",1,1.35066950006876
"sub-154989",57,"rot","yellow",0,"g",1,1.14723100000992
"sub-154989",58,"gelb","yellow",1,"g",1,0.756818299996667
"sub-154989",59,"gelb","blue",0,"b",1,1.3487654000055
"sub-154989",60,"rot","blue",0,"b",1,1.01693419995718
"sub-154989",61,"gelb","blue",0,"b",1,0.551564799970947
"sub-154989",62,"blau","blue",1,"b",1,0.553425900056027
"sub-154989",63,"blau","red",0,"r",1,0.977652100031264
"sub-154989",64,"gelb","yellow",1,"g",1,1.07704669993836
"sub-154989",65,"blau","blue",1,"b",1,1.68653980002273
"sub-154989",66,"rot","blue",0,"b",1,0.882215099991299
"sub-154989",67,"rot","red",1,"r",1,1.01038750004955
"sub-154989",68,"gelb","yellow",1,"g",1,1.09504539996851
"sub-154989",69,"rot","red",1,"r",1,0.908024000003934
"sub-154989",70,"blau","yellow",0,"g",1,1.96288659994025
"sub-154989",71,"gelb","red",0,"r",1,1.36570600001141
"sub-154989",72,"rot","yellow",0,"g",1,1.08258629997727
"sub-154989",73,"gelb","red",0,"r",1,1.02921969990712
"sub-154989",74,"gelb","yellow",1,"g",1,0.74740540003404
"sub-154989",75,"gelb","yellow",1,"g",1,1.00609779998194
"sub-154989",76,"blau","blue",1,"b",1,0.861037699971348
"sub-154989",77,"blau","blue",1,"b",1,0.55808430002071
"sub-154989",78,"gelb","blue",0,"b",1,0.517295700032264
"sub-154989",79,"blau","yellow",0,"g",1,1.28670609998517
"sub-154989",80,"rot","red",1,"r",1,1.04148900008295
"sub-154989",81,"rot","blue",0,"b",1,1.69122869998682
"sub-154989",82,"blau","red",0,"r",1,1.16407689999323
"sub-154989",83,"rot","red",1,"r",1,0.567148100002669
"sub-154989",84,"rot","yellow",0,"g",1,1.11566749995109
"sub-154989",85,"blau","blue",1,"b",1,1.70604209997691
"sub-154989",86,"rot","red",1,"r",1,0.797257400001399
"sub-154989",87,"gelb","yellow",1,"g",1,0.451082300045528
"sub-154989",88,"gelb","red",0,"r",1,1.02221619989723
"sub-154989",89,"gelb","yellow",1,"g",1,1.33168089995161
"sub-154989",90,"rot","red",1,"r",1,0.856078499928117
"sub-154989",91,"rot","blue",0,"b",1,0.965800200006925
"sub-154989",92,"gelb","blue",0,"b",1,0.883279399946332
"sub-154989",93,"blau","yellow",0,"g",1,1.15236649999861
"sub-154989",94,"rot","yellow",0,"g",1,1.41469630005304
"sub-154989",95,"blau","blue",1,"b",1,1.62936060002539
"sub-154989",96,"blau","red",0,"r",1,0.952667200006545
"sub-154989",97,"blau","yellow",0,"g",1,2.22808070003521
"sub-154989",98,"rot","yellow",0,"g",1,1.37345329998061
"sub-154989",99,"gelb","blue",0,"b",1,2.15744920005091
"sub-154989",100,"blau","blue",1,"b",1,0.516432200092822
"sub-154989",101,"gelb","yellow",1,"g",1,1.23251000000164
"sub-154989",102,"gelb","red",0,"r",1,1.0382756999461
"sub-154989",103,"rot","red",1,"r",1,0.486551699927077
"sub-154989",104,"rot","blue",0,"b",1,1.17522259999532
"sub-154989",105,"blau","blue",1,"b",1,0.51648800005205
"sub-154989",106,"blau","red",0,"r",1,1.08961769996677
"sub-154989",107,"rot","red",1,"r",1,0.870134399970993
"sub-154989",108,"gelb","yellow",1,"g",1,2.06897000002209
"sub-154989",109,"blau","red",0,"r",1,2.03310509992298
"sub-154989",110,"blau","blue",1,"b",1,1.80359890009277
"sub-154989",111,"rot","blue",0,"b",1,0.907397700008005
"sub-154989",112,"gelb","yellow",1,"g",1,1.55197599995881
"sub-154989",113,"gelb","red",0,"r",1,0.718594799982384
"sub-154989",114,"gelb","yellow",1,"g",1,1.27565220010001
"sub-154989",115,"rot","yellow",0,"g",1,0.676930400077254
"sub-154989",116,"blau","yellow",0,"g",1,0.544578599976376
"sub-154989",117,"blau","blue",1,"b",1,0.947555899969302
"sub-154989",118,"rot","red",1,"r",1,0.932917499914765
"sub-154989",119,"rot","red",1,"r",1,0.78088969993405
"sub-154989",120,"gelb","blue",0,"b",1,1.12516199995298
"sub-864538",1,"rot","blue",0,"b",1,2.36781429999974
"sub-864538",2,"rot","red",1,"r",1,1.62572609994095
"sub-864538",3,"gelb","blue",0,"b",1,1.85893139999826
"sub-864538",4,"blau","yellow",0,"g",1,1.17537039995659
"sub-864538",5,"rot","red",1,"r",1,1.32304250006564
"sub-864538",6,"gelb","yellow",1,"g",1,0.761563399923034
"sub-864538",7,"rot","yellow",0,"g",1,2.41320379998069
"sub-864538",8,"gelb","yellow",1,"g",1,0.643967000069097
"sub-864538",9,"blau","blue",1,"b",1,1.41474569996353
"sub-864538",10,"blau","red",0,"r",1,1.44656690000556
"sub-864538",11,"blau","blue",1,"b",1,1.01225619995967
"sub-864538",12,"gelb","red",0,"r",1,1.45602799998596
"sub-864538",13,"gelb","blue",0,"b",1,1.55910119996406
"sub-864538",14,"rot","yellow",0,"g",1,1.08309289999306
"sub-864538",15,"rot","blue",0,"b",1,1.16332249995321
"sub-864538",16,"gelb","yellow",1,"g",1,0.856759599992074
"sub-864538",17,"blau","red",0,"r",1,1.34877369995229
"sub-864538",18,"rot","red",1,"r",1,1.22367580002174
"sub-864538",19,"blau","blue",1,"b",1,1.66576470003929
"sub-864538",20,"blau","blue",1,"b",1,0.711986399954185
"sub-864538",21,"gelb","red",0,"r",1,1.98108290007804
"sub-864538",22,"blau","yellow",0,"g",1,1.01562169997487
"sub-864538",23,"rot","red",1,"r",1,0.915734299924225
"sub-864538",24,"gelb","yellow",1,"g",1,0.716931100003421
"sub-864538",25,"rot","red",1,"r",1,0.824727599974722
"sub-864538",26,"gelb","red",0,"r",1,1.39052440004889
"sub-864538",27,"blau","yellow",0,"g",1,1.24843849998433
"sub-864538",28,"gelb","blue",0,"b",1,0.906788500025868
"sub-864538",29,"blau","blue",1,"b",1,1.22987809998449
"sub-864538",30,"blau","red",0,"r",1,0.956700899987482
"sub-864538",31,"blau","blue",1,"b",1,1.4463130000513
"sub-864538",32,"gelb","yellow",1,"g",1,1.15003279992379
"sub-864538",33,"gelb","yellow",1,"g",1,0.558215999975801
"sub-864538",34,"rot","yellow",0,"g",1,0.888181999907829
"sub-864538",35,"rot","blue",0,"b",1,1.47985779994633
"sub-864538",36,"rot","red",1,"r",1,0.912217299919576
"sub-864538",37,"rot","blue",0,"b",1,1.28430409997236
"sub-864538",38,"rot","red",1,"r",1,0.846737700048834
"sub-864538",39,"gelb","yellow",1,"g",1,0.785945400013588
"sub-864538",40,"blau","yellow",0,"g",1,0.959411399904638
"sub-864538",41,"rot","yellow",0,"g",1,0.805643200059421
"sub-864538",42,"blau","blue",1,"b",1,0.658891099970788
"sub-864538",43,"blau","blue",1,"b",1,0.5761129000457
"sub-864538",44,"gelb","red",0,"r",1,0.701874799910001
"sub-864538",45,"rot","red",1,"r",1,0.587958900025114
"sub-864538",46,"gelb","blue",0,"b",1,0.944310499937274
"sub-864538",47,"blau","red",0,"r",1,0.850209300057031
"sub-864538",48,"gelb","yellow",1,"g",1,0.646029500057921
"sub-864538",49,"gelb","red",0,"r",1,0.80825670005288
"sub-864538",50,"gelb","blue",0,"b",1,0.794880000059493
"sub-864538",51,"gelb","yellow",1,"g",1,0.865679300040938
"sub-864538",52,"rot","blue",0,"b",1,1.08007479994558
"sub-864538",53,"blau","yellow",0,"g",1,0.866775900009088
"sub-864538",54,"gelb","yellow",1,"g",1,0.582456000032835
"sub-864538",55,"rot","red",1,"r",1,0.808122599963099
"sub-864538",56,"rot","yellow",0,"g",1,1.05857069999911
"sub-864538",57,"rot","red",1,"r",1,0.646132600028068
"sub-864538",58,"blau","blue",1,"b",1,0.733940599951893
"sub-864538",59,"blau","blue",1,"b",1,0.894974900060333
