wordCTK,colorCTK,corrAnsCTK,congruentCTK,wordPractice,colorPractice,corrAnsPractice,congruentPractice,word,color,corrAns,congruent,trials_CTK.thisRepN,trials_CTK.thisTrialN,trials_CTK.thisN,trials_CTK.thisIndex,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials_test.thisRepN,trials_test.thisTrialN,trials_test.thisN,trials_test.thisIndex,thisRow.t,notes,instruction.started,instr_text.started,instr_image.started,instr_resp.started,instruction.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,instr_color_to_key.started,instr_ctk.started,resp_ctk.started,instr_color_to_key.stopped,resp_ctk.keys,resp_ctk.rt,resp_ctk.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,color_to_key_run.started,stimulus_CTK.started,keyResp_CTK.started,color_to_key_run.stopped,keyResp_CTK.keys,keyResp_CTK.corr,keyResp_CTK.rt,keyResp_CTK.duration,instr_practice.started,instr_practice_text.started,instr_practice_resp.started,instr_practice.stopped,instr_practice_resp.keys,instr_practice_resp.rt,instr_practice_resp.duration,practice_run.started,stimulus_practice.started,respPractice.started,practice_run.stopped,respPractice.keys,respPractice.corr,respPractice.rt,respPractice.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,instr_test.started,instr_test_text.started,instr_test_resp.started,instr_test.stopped,instr_test_resp.keys,instr_test_resp.rt,instr_test_resp.duration,test_run.started,stimulus_test_run.started,keyResp_test_run.started,test_run.stopped,keyResp_test_run.keys,keyResp_test_run.corr,keyResp_test_run.rt,keyResp_test_run.duration,goodbye.started,textGoodbye.started,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.0405148999998346,0.12344650004524738,0.12344650004524738,0.12344650004524738,78.5417393000098,space,78.40877579990774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-864538,001,2024-03-11_18h11.51.015,stroop_test,2023.2.3,60.18317350039054,2024-03-11 18h11.58.407035 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.54179459996521,78.55724930006545,78.55724930006545,96.50471080001444,space,17.936313799931668,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-864538,001,2024-03-11_18h11.51.015,stroop_test,2023.2.3,60.18317350039054,2024-03-11 18h11.58.407035 +0100,
test,blue,b,1,,,,,,,,,0,0,0,2,,,,,,,,,96.52402260003146,,,,,,,,,,,,,,,,,96.52092330006417,97.31982910004444,98.1197224999778,98.10376680002082,98.10379900003318,98.1197224999778,98.1197224999778,104.60308090003673,b,1,6.48009510000702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-864538,001,2024-03-11_18h11.51.015,stroop_test,2023.2.3,60.18317350039054,2024-03-11 18h11.58.407035 +0100,
test,yellow,g,1,,,,,,,,,0,1,1,1,,,,,,,,,104.61820260004606,,,,,,,,,,,,,,,,,104.60450440004934,104.71819439996034,105.51798260002397,105.5023833999876,105.50241439999081,105.51798260002397,105.51798260002397,107.55246919998899,g,1,2.017306499998085,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-864538,001,2024-03-11_18h11.51.015,stroop_test,2023.2.3,60.18317350039054,2024-03-11 18h11.58.407035 +0100,
test,red,r,1,,,,,,,,,0,2,2,0,,,,,,,,,107.5675690000644,,,,,,,,,,,,,,,,,107.55350090004504,107.66754060005769,108.46753050002735,108.45156660000794,108.45159780001268,108.46753050002735,108.46753050002735,110.33456220000517,r,1,1.8645500999409705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-864538,001,2024-03-11_18h11.51.015,stroop_test,2023.2.3,60.18317350039054,2024-03-11 18h11.58.407035 +0100,
test,blue,b,1,,,,,,,,,1,0,3,2,,,,,,,,,110.35049740003888,,,,,,,,,,,,,,,,,110.3354890999617,110.4502529000165,111.2501757000573,111.23436040000524,111.23439270001836,111.2501757000573,111.2501757000573,114.06772709998768,b,1,2.813494800007902,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-864538,001,2024-03-11_18h11.51.015,stroop_test,2023.2.3,60.18317350039054,2024-03-11 18h11.58.407035 +0100,
test,red,r,1,,,,,,,,,1,1,4,0,,,,,,,,,114.08263449999504,,,,,,,,,,,,,,,,,114.06879499997012,114.18296620005276,114.98272540001199,114.96686090005096,114.96689110004809,114.98272540001199,114.98272540001199,116.80065510002896,r,1,1.806460399995558,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-864538,001,2024-03-11_18h11.51.015,stroop_test,2023.2.3,60.18317350039054,2024-03-11 18h11.58.407035 +0100,
test,yellow,g,1,,,,,,,,,1,2,5,1,,,,,,,,,116.81536740006413,,,,,,,,,,,,,,,,,116.80200979998335,116.91574650001712,117.7154712000629,117.69960599998012,117.69963739998639,117.7154712000629,117.7154712000629,119.050311399973,g,1,1.3177495000418276,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-864538,001,2024-03-11_18h11.51.015,stroop_test,2023.2.3,60.18317350039054,2024-03-11 18h11.58.407035 +0100,
test,blue,b,1,,,,,,,,,2,0,6,2,,,,,,,,,119.06538340006955,,,,,,,,,,,,,,,,,119.05131130001973,119.16528690000996,119.96503099997062,119.94897719996516,119.94900670007337,119.96503099997062,119.96503099997062,121.46638510003686,b,1,1.4932042999425903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-864538,001,2024-03-11_18h11.51.015,stroop_test,2023.2.3,60.18317350039054,2024-03-11 18h11.58.407035 +0100,
test,yellow,g,1,,,,,,,,,2,1,7,1,,,,,,,,,121.48133670003153,,,,,,,,,,,,,,,,,121.4681728000287,122.68097250000574,123.48097639996558,123.46501050004736,123.4650404000422,123.48097639996558,123.48097639996558,125.08244340005331,g,1,1.5955942999571562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-864538,001,2024-03-11_18h11.51.015,stroop_test,2023.2.3,60.18317350039054,2024-03-11 18h11.58.407035 +0100,
test,red,r,1,,,,,,,,,2,2,8,0,,,,,,,,,125.09695440006908,,,,,,,,,,,,,,,,,125.08357050002087,125.89719529997092,126.6970778000541,126.68121329997666,126.68124339997303,126.6970778000541,126.6970778000541,127.66499249998014,r,1,0.9593336000107229,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-864538,001,2024-03-11_18h11.51.015,stroop_test,2023.2.3,60.18317350039054,2024-03-11 18h11.58.407035 +0100,
